acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z;quat_w;quat_x;quat_y;quat_z;cal_sys;cal_acc;cal_gyr;cal_mag
-0.180000;-0.800000;9.690000;0.000000;0.002182;-0.001091;0.175000;0.467187;-1.326563;0.998901;-0.043701;0.017944;-0.000732;0;3;3;0
-0.160000;-0.780000;9.660000;-0.001091;0.000000;0.001091;0.184375;0.487500;-1.296875;0.998901;-0.043640;0.017761;-0.000732;0;3;3;0
-0.200000;-0.800000;9.660000;0.000000;0.003272;-0.001091;0.184375;0.467187;-1.337500;0.998901;-0.043579;0.017517;-0.000732;0;3;3;0
-0.160000;-0.780000;9.680000;0.001091;0.000000;-0.002182;0.184375;0.467187;-1.317188;0.998901;-0.043518;0.017395;-0.000793;0;3;3;0
-0.170000;-0.780000;9.680000;0.001091;-0.002182;0.000000;0.184375;0.467187;-1.317188;0.998901;-0.043396;0.017212;-0.000793;0;3;3;0
-0.170000;-0.770000;9.690000;0.003272;0.000000;0.000000;0.193750;0.467187;-1.296875;0.998901;-0.043335;0.017029;-0.000793;0;3;3;0
-0.170000;-0.770000;9.660000;-0.002182;0.001091;0.000000;0.204688;0.467187;-1.267187;0.998901;-0.043274;0.016846;-0.000793;0;3;3;0
-0.180000;-0.780000;9.660000;0.000000;-0.001091;-0.002182;0.184375;0.456250;-1.279688;0.998901;-0.043213;0.016724;-0.000793;0;3;3;0
-0.190000;-0.780000;9.720000;0.002182;-0.003272;-0.001091;0.193750;0.450000;-1.326563;0.998901;-0.043152;0.016541;-0.000793;0;3;3;0
-0.180000;-0.790000;9.670000;-0.002182;-0.006545;-0.001091;0.193750;0.450000;-1.326563;0.998962;-0.043152;0.016479;-0.000793;0;3;3;0
-0.180000;-0.760000;9.700000;-0.003272;-0.001091;0.000000;0.193750;0.476562;-1.287500;0.998962;-0.043030;0.016296;-0.000793;0;3;3;0
-0.160000;-0.780000;9.680000;0.005454;0.003272;-0.001091;0.184375;0.476562;-1.306250;0.998962;-0.042969;0.016113;-0.000793;0;3;3;0
-0.160000;-0.760000;9.680000;0.001091;0.002182;0.000000;0.193750;0.442187;-1.337500;0.998962;-0.042908;0.015991;-0.000793;0;3;3;0
-0.190000;-0.780000;9.690000;0.002182;0.000000;0.000000;0.184375;0.487500;-1.306250;0.998962;-0.042847;0.015869;-0.000793;0;3;3;0
-0.180000;-0.760000;9.690000;-0.002182;-0.001091;0.002182;0.184375;0.487500;-1.306250;0.998962;-0.042847;0.015808;-0.000854;0;3;3;0
-0.170000;-0.790000;9.720000;-0.007636;-0.002182;0.000000;0.175000;0.456250;-1.296875;0.998962;-0.042786;0.015625;-0.000854;0;3;3;0
-0.150000;-0.840000;9.630000;0.002182;0.004363;-0.001091;0.167187;0.476562;-1.306250;0.998962;-0.042786;0.015564;-0.000854;0;3;3;0
-0.130000;-0.750000;9.660000;-0.004363;-0.002182;-0.004363;0.175000;0.476562;-1.306250;0.998962;-0.042725;0.015442;-0.000854;0;3;3;0
