time index;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z;quat_w;quat_x;quat_y;quat_z
1;-9.5800000000;-0.5900000000;2.0300000000;-5.0625000000;1.2500000000;1.6875000000;31.8750000000;-10.0000000000;-15.0625000000;0.1980590000;0.5961300000;0.1917720000;-0.7540890000
2;-9.6900000000;-0.9800000000;1.7000000000;2.0000000000;1.0625000000;1.1875000000;31.8750000000;-10.6875000000;-14.6875000000;0.1987920000;0.5965580000;0.1926880000;-0.7532960000
3;-10.0300000000;-0.5800000000;1.8100000000;-1.9375000000;-0.1250000000;-0.8750000000;31.5625000000;-10.2500000000;-13.8750000000;0.1981810000;0.5964970000;0.1924440000;-0.7535400000
4;-9.4700000000;-0.7500000000;2.1900000000;6.6250000000;-0.5000000000;-11.0625000000;31.8750000000;-10.0000000000;-14.6875000000;0.1952510000;0.5958250000;0.1932370000;-0.7547000000
5;-9.4800000000;-0.1000000000;2.1800000000;1.0625000000;3.3750000000;-4.0625000000;31.5625000000;-10.2500000000;-15.0625000000;0.1936040000;0.5963130000;0.1928710000;-0.7548220000
6;-9.5300000000;-0.0600000000;2.0400000000;4.3125000000;3.1250000000;1.3125000000;31.5625000000;-10.2500000000;-15.0625000000;0.1926880000;0.5974120000;0.1929930000;-0.7541500000
7;-9.4800000000;-0.0600000000;1.8700000000;-2.6250000000;2.1250000000;5.0000000000;31.1875000000;-10.0000000000;-14.6875000000;0.1936650000;0.5985110000;0.1923220000;-0.7531740000
8;-9.6500000000;-0.6800000000;1.9400000000;-14.0625000000;6.6875000000;2.1875000000;31.8750000000;-10.0000000000;-15.0625000000;0.1972660000;0.5991210000;0.1952510000;-0.7510380000
9;-9.6200000000;-0.5400000000;2.1800000000;4.6875000000;6.0000000000;6.8125000000;33.0625000000;-10.0000000000;-14.2500000000;0.1979980000;0.6011960000;0.1939700000;-0.7495120000
10;-9.8100000000;-0.4500000000;2.1100000000;-1.4375000000;4.4375000000;7.9375000000;31.1875000000;-10.0000000000;-14.2500000000;0.1995240000;0.6026610000;0.1923830000;-0.7483520000
11;-9.6100000000;-0.6000000000;1.8100000000;-3.1875000000;0.4375000000;5.7500000000;31.1875000000;-10.0000000000;-14.2500000000;0.2014160000;0.6034550000;0.1924440000;-0.7471310000
12;-9.4800000000;-1.0600000000;1.8900000000;-2.6875000000;1.8750000000;0.9375000000;30.8750000000;-10.0000000000;-15.0000000000;0.2039790000;0.6031490000;0.1938480000;-0.7463380000
