time index;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z;quat_w;quat_x;quat_y;quat_z
1;-1.4700000000;0.0700000000;9.6100000000;1.5625000000;-0.1875000000;0.1875000000;20.5000000000;1.1875000000;-45.6875000000;0.6549680000;-0.0615840000;-0.0528560000;-0.7512820000
2;-1.4400000000;0.0300000000;9.5300000000;-3.3750000000;-1.1875000000;0.5000000000;20.5000000000;1.1875000000;-45.6875000000;0.6550290000;-0.0609740000;-0.0531010000;-0.7512820000
3;-1.6800000000;-0.1300000000;9.6500000000;0.8125000000;1.0625000000;-0.3125000000;20.0625000000;2.2500000000;-46.5000000000;0.6550900000;-0.0607300000;-0.0537110000;-0.7511600000
4;-1.6000000000;0.0000000000;9.6800000000;3.6875000000;1.1875000000;-0.8125000000;20.0625000000;1.5625000000;-47.2500000000;0.6549680000;-0.0618290000;-0.0528560000;-0.7512820000
5;-1.5600000000;0.1600000000;9.5100000000;0.7500000000;-2.3750000000;-1.1250000000;20.0625000000;2.0000000000;-46.5000000000;0.6546630000;-0.0620730000;-0.0522460000;-0.7515870000
6;-1.5200000000;0.2000000000;9.6600000000;1.6875000000;0.2500000000;-0.1250000000;20.8750000000;1.5625000000;-45.6875000000;0.6545410000;-0.0621950000;-0.0517580000;-0.7517090000
7;-1.5300000000;0.1200000000;9.5600000000;0.4375000000;0.5000000000;0.5000000000;20.8750000000;1.5625000000;-45.6875000000;0.6545410000;-0.0625000000;-0.0514530000;-0.7517090000
8;-1.5100000000;-0.0900000000;9.6400000000;-2.9375000000;0.4375000000;0.7500000000;20.0625000000;2.0000000000;-45.6875000000;0.6547240000;-0.0623780000;-0.0518190000;-0.7515260000
9;-1.5800000000;-0.1000000000;9.6400000000;-0.5000000000;0.3125000000;-0.4375000000;20.8750000000;2.0000000000;-46.5000000000;0.6546630000;-0.0618900000;-0.0523680000;-0.7515260000
10;-1.6600000000;0.1100000000;9.6200000000;3.2500000000;-0.4375000000;-1.0000000000;20.5000000000;1.1875000000;-46.5000000000;0.6544190000;-0.0626830000;-0.0517580000;-0.7517090000
11;-1.5600000000;0.1100000000;9.6100000000;-0.2500000000;1.1875000000;-0.1875000000;21.1875000000;2.0000000000;-46.5000000000;0.6543580000;-0.0628050000;-0.0515750000;-0.7518310000
12;-1.5600000000;0.1800000000;9.5500000000;-1.0625000000;-0.3125000000;0.5000000000;21.1875000000;2.0000000000;-46.5000000000;0.6543580000;-0.0629270000;-0.0516970000;-0.7518310000
13;-1.6200000000;0.0900000000;9.6800000000;-2.8750000000;0.4375000000;2.0000000000;20.0625000000;1.5625000000;-44.8750000000;0.6546630000;-0.0625000000;-0.0522460000;-0.7515260000
14;-1.5100000000;-0.2600000000;9.6500000000;-1.1875000000;0.8750000000;1.8125000000;20.0625000000;1.5625000000;-45.6875000000;0.6552730000;-0.0619510000;-0.0529790000;-0.7509770000
15;-1.5200000000;-0.0900000000;9.6100000000;0.4375000000;-0.3125000000;-0.1875000000;20.0625000000;2.0000000000;-45.6875000000;0.6552730000;-0.0621340000;-0.0527950000;-0.7509770000
16;-1.6000000000;0.0200000000;9.6600000000;2.5000000000;0.1250000000;-0.5000000000;21.1875000000;1.5625000000;-46.0625000000;0.6550900000;-0.0623170000;-0.0525510000;-0.7510990000
17;-1.6400000000;-0.0200000000;9.6200000000;2.5625000000;0.6250000000;-1.0000000000;21.1875000000;1.5625000000;-46.0625000000;0.6549680000;-0.0629880000;-0.0518800000;-0.7512820000
18;-1.6300000000;0.1900000000;9.5800000000;1.4375000000;-0.1250000000;-0.4375000000;20.8750000000;1.5625000000;-45.6875000000;0.6547240000;-0.0637210000;-0.0512700000;-0.7514650000
19;-1.5500000000;0.1000000000;9.6000000000;-3.6250000000;-0.9375000000;0.0000000000;20.8750000000;2.0000000000;-46.5000000000;0.6547850000;-0.0631100000;-0.0516360000;-0.7514040000
20;-1.5700000000;-0.1700000000;9.6700000000;1.6875000000;-0.8125000000;-0.1875000000;20.5000000000;1.5625000000;-47.2500000000;0.6549070000;-0.0628660000;-0.0516970000;-0.7513430000
21;-1.5000000000;0.1200000000;9.5900000000;2.8125000000;1.1250000000;-1.0000000000;20.5000000000;1.5625000000;-48.0625000000;0.6546630000;-0.0635380000;-0.0510250000;-0.7515260000
22;-1.6300000000;0.0600000000;9.5600000000;1.2500000000;0.5625000000;-0.5000000000;20.5000000000;1.5625000000;-48.0625000000;0.6545410000;-0.0641480000;-0.0507810000;-0.7515870000
