time index;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z;quat_w;quat_x;quat_y;quat_z
13;-9.2800000000;-0.4500000000;0.8300000000;3.5625000000;0.4375000000;0.5000000000;28.2500000000;7.3750000000;-13.2500000000;0.6218260000;0.3296510000;0.5858760000;-0.4017940000
14;-9.5200000000;-0.5300000000;0.9800000000;4.1250000000;5.0625000000;1.6250000000;29.0000000000;6.6875000000;-13.0000000000;0.6207280000;0.3312380000;0.5861210000;-0.4018550000
15;-9.4900000000;-0.5200000000;0.9800000000;4.5625000000;1.5625000000;-0.9375000000;28.2500000000;7.0000000000;-12.5000000000;0.6199340000;0.3326420000;0.5858760000;-0.4022830000
16;-9.3300000000;-0.4100000000;0.9500000000;5.2500000000;2.0000000000;0.1875000000;28.2500000000;7.0000000000;-12.5000000000;0.6192020000;0.3340450000;0.5852050000;-0.4031980000
17;-9.3900000000;-0.5700000000;1.0900000000;0.1250000000;-1.6250000000;-0.1250000000;27.8750000000;5.8750000000;-14.5000000000;0.6182250000;0.3356320000;0.5840450000;-0.4050900000
18;-9.3300000000;-0.5700000000;0.9900000000;2.9375000000;0.6250000000;2.4375000000;28.5625000000;7.3750000000;-12.0625000000;0.6185910000;0.3358760000;0.5838620000;-0.4044800000
19;-9.3300000000;-0.5200000000;1.0000000000;6.4375000000;-1.0000000000;-2.3750000000;29.0000000000;6.6875000000;-13.2500000000;0.6179200000;0.3365480000;0.5833740000;-0.4057010000
20;-9.1200000000;-0.4600000000;1.0200000000;3.9375000000;-0.6250000000;-0.6875000000;28.5625000000;7.0000000000;-13.2500000000;0.6173710000;0.3369750000;0.5826420000;-0.4071660000
21;-9.2800000000;-0.5100000000;1.0500000000;8.3125000000;2.8750000000;1.1875000000;28.5625000000;7.0000000000;-13.2500000000;0.6162720000;0.3388670000;0.5821530000;-0.4079590000
22;-9.7200000000;-0.3600000000;1.3500000000;5.8125000000;0.3125000000;-2.0625000000;28.5625000000;7.0000000000;-12.5000000000;0.6151730000;0.3405760000;0.5812990000;-0.4094240000
23;-8.9200000000;0.0000000000;1.3800000000;9.3125000000;0.6875000000;-2.3125000000;29.0000000000;6.2500000000;-14.5000000000;0.6140140000;0.3420410000;0.5801390000;-0.4116210000
24;-9.4800000000;0.3200000000;1.1300000000;5.0625000000;-2.8750000000;2.5000000000;29.0000000000;6.2500000000;-13.7500000000;0.6126710000;0.3444210000;0.5787960000;-0.4135740000
25;-9.4700000000;-0.7100000000;1.0100000000;4.3125000000;-1.7500000000;8.6250000000;28.2500000000;5.8750000000;-13.0000000000;0.6137700000;0.3464360000;0.5764770000;-0.4133910000
26;-9.7100000000;-0.5500000000;0.8800000000;3.1875000000;1.0625000000;3.6875000000;28.2500000000;5.8750000000;-13.0000000000;0.6138920000;0.3490600000;0.5751340000;-0.4129030000
27;-9.5500000000;-0.6200000000;0.7800000000;9.0000000000;-0.7500000000;2.1875000000;28.5625000000;6.2500000000;-12.1875000000;0.6134640000;0.3504030000;0.5742800000;-0.4136350000
28;-9.4600000000;-0.3200000000;0.9100000000;10.2500000000;4.1875000000;3.3125000000;29.0000000000;5.5000000000;-13.0000000000;0.6118770000;0.3537600000;0.5728150000;-0.4151610000
29;-9.5500000000;-0.4400000000;0.9500000000;2.4375000000;2.2500000000;0.1250000000;28.5625000000;5.8750000000;-12.5000000000;0.6108400000;0.3557130000;0.5725710000;-0.4153440000
30;-9.2800000000;-0.5000000000;0.9600000000;10.1250000000;0.6875000000;-0.1875000000;29.2500000000;5.8750000000;-14.5000000000;0.6096190000;0.3573000000;0.5719600000;-0.4165650000
