time index;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z;quat_w;quat_x;quat_y;quat_z
19;-10.3700000000;0.4500000000;-4.4700000000;23.8750000000;69.5625000000;6.8750000000;42.5625000000;-2.5000000000;-2.7500000000;0.4096070000;0.6032710000;0.5772710000;-0.3674320000
20;-10.2300000000;0.4000000000;-4.1100000000;17.4375000000;75.1250000000;-27.8125000000;42.5625000000;-2.5000000000;-2.7500000000;0.3904420000;0.6118160000;0.5881350000;-0.3567500000
21;-10.0100000000;0.7400000000;-4.1700000000;0.4375000000;71.7500000000;-13.0625000000;43.1875000000;-3.0625000000;0.7500000000;0.3741460000;0.6179810000;0.5996090000;-0.3442990000
22;-9.6800000000;1.2000000000;-5.7500000000;-61.8125000000;68.0625000000;8.9375000000;43.5625000000;-1.6875000000;2.2500000000;0.3713380000;0.6199340000;0.6135860000;-0.3182980000
23;-9.5600000000;-0.3800000000;-5.6200000000;-9.0000000000;96.9375000000;20.6250000000;42.8750000000;-2.0625000000;5.2500000000;0.3593140000;0.6307370000;0.6224980000;-0.2925420000
24;-9.8700000000;0.1600000000;-5.4900000000;21.1250000000;74.7500000000;-17.2500000000;42.8750000000;-2.0625000000;5.2500000000;0.3391720000;0.6381840000;0.6322020000;-0.2792360000
25;-8.5200000000;0.8500000000;-5.9400000000;26.1250000000;71.7500000000;-9.8125000000;42.5000000000;-2.7500000000;7.7500000000;0.3169560000;0.6466670000;0.6389160000;-0.2703860000
26;-7.9600000000;1.2300000000;-6.5300000000;25.0000000000;75.5000000000;-12.8125000000;40.5625000000;-2.2500000000;10.0000000000;0.2933960000;0.6546630000;0.6458740000;-0.2611690000
27;-7.5600000000;0.4300000000;-6.3800000000;40.5000000000;86.5000000000;-14.2500000000;39.5000000000;-2.0000000000;12.6875000000;0.2665410000;0.6629640000;0.6530760000;-0.2507930000
28;-7.0900000000;0.7800000000;-6.4000000000;27.5000000000;84.3750000000;5.8750000000;38.3750000000;-0.5000000000;14.7500000000;0.2468260000;0.6693120000;0.6578370000;-0.2416990000
29;-7.0700000000;0.3600000000;-6.1700000000;26.2500000000;76.8750000000;-3.3750000000;38.3750000000;-0.5000000000;14.7500000000;0.2224120000;0.6791380000;0.6611330000;-0.2285160000
30;-5.8700000000;0.7000000000;-6.1100000000;3.6875000000;62.5000000000;-1.5000000000;35.6875000000;-0.0625000000;17.1875000000;0.2015380000;0.6857910000;0.6654660000;-0.2150270000
31;-5.1400000000;0.1800000000;-6.8500000000;-4.3125000000;81.1875000000;5.1250000000;33.8750000000;0.2500000000;19.2500000000;0.1871950000;0.6923220000;0.6688840000;-0.1954960000
32;-5.6700000000;0.0700000000;-6.4100000000;9.5000000000;54.4375000000;10.8125000000;32.6875000000;1.0000000000;21.8750000000;0.1724240000;0.6994020000;0.6690060000;-0.1831670000
33;-5.1200000000;0.9100000000;-7.5800000000;-18.9375000000;40.9375000000;20.7500000000;31.5000000000;-0.5000000000;23.1875000000;0.1693730000;0.7018430000;0.6696780000;-0.1738280000
34;-4.3300000000;-0.3300000000;-7.8300000000;18.6875000000;34.7500000000;16.0000000000;31.5000000000;-0.5000000000;23.1875000000;0.1608280000;0.7052610000;0.6704100000;-0.1652220000
35;-4.1800000000;0.9900000000;-7.8700000000;-6.0625000000;37.3125000000;17.7500000000;30.5000000000;-0.3750000000;26.0000000000;0.1491090000;0.7104490000;0.6699830000;-0.1553340000
36;-4.1500000000;-0.5900000000;-7.8600000000;-11.5000000000;47.6250000000;-2.1250000000;29.0000000000;-0.0625000000;24.5000000000;0.1421510000;0.7137450000;0.6712040000;-0.1407470000
