model_name,validation_accuracy,validation_precision_macro,validation_recall_macro,validation_f1_macro,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,combined_f1_macro,combined_accuracy
logistic_regression,1.0,1.0,1.0,1.0,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8857142857142858,0.9428571428571428,0.9444444444444444
random_forest,1.0,1.0,1.0,1.0,0.8888888888888888,0.9076923076923077,0.8888888888888888,0.8829629629629631,0.9414814814814816,0.9444444444444444
extra_trees,1.0,1.0,1.0,1.0,0.8055555555555556,0.8482142857142857,0.8055555555555555,0.7918192918192918,0.8959096459096458,0.9027777777777778
svm_rbf,1.0,1.0,1.0,1.0,0.7777777777777778,0.8333333333333334,0.7777777777777778,0.7380952380952381,0.8690476190476191,0.8888888888888888
