acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
-9.6069486795;-0.5896162370;2.0569087056;-5.0728102839;1.2624115085;1.6578072813;31.8750000000;-10.0000000000;-15.0625000000
-9.6896216751;-0.9720896470;1.7126160581;2.0248113096;1.0802962449;1.1674542782;31.8750000000;-10.6875000000;-14.6875000000
-9.9572110756;-0.5878613566;1.7776213097;-1.9274306458;-0.1255086275;-0.8699452620;31.5625000000;-10.2500000000;-13.8750000000
-9.4912115320;-0.7526704793;2.2086464406;6.7397887878;-0.4972151680;-11.1547962351;31.8750000000;-10.0000000000;-14.6875000000
-9.5669884564;-0.0981090647;2.2101528889;1.0819050828;3.4357024644;-4.1018302250;31.5625000000;-10.2500000000;-15.0625000000
-9.4306016264;-0.0608757036;2.0195087899;4.3003350667;3.1002944738;1.3094397515;31.5625000000;-10.2500000000;-15.0625000000
-9.2938198214;-0.0596633509;1.8907139509;-2.6166007581;2.1035084081;4.9970146408;31.1875000000;-10.0000000000;-14.6875000000
-9.7952032952;-0.6745007734;1.9502673937;-13.7990716024;6.6533503713;2.2015520904;31.8750000000;-10.0000000000;-15.0625000000
-9.5798012055;-0.5469522947;2.1592245575;4.6677292089;6.0936543388;6.9121254701;33.0625000000;-10.0000000000;-14.2500000000
-9.9389714973;-0.4484947593;2.1125296198;-1.4538264493;4.4554160785;7.7882442620;31.1875000000;-10.0000000000;-14.2500000000
-9.6418180451;-0.6059525508;1.8346673073;-3.2140896383;0.4305636891;5.7138001721;31.1875000000;-10.0000000000;-14.2500000000
-9.4106733306;-1.0629820330;1.9024460299;-2.7078186697;1.8777914866;0.9232194291;30.8750000000;-10.0000000000;-15.0000000000
-9.7721620480;-0.7026247351;1.6605783026;-4.2873217245;12.7507880840;-1.1905930039;31.8750000000;-10.6875000000;-14.2500000000
-9.6715132847;-0.5275213531;1.7626922033;-1.3105758147;5.1912091084;-3.1902007728;31.1875000000;-11.0625000000;-13.0625000000
-9.7667122929;0.1220135972;1.7740522130;-6.1865838737;8.1205075558;5.4682016261;32.2500000000;-10.6875000000;-13.5000000000
-9.7490310046;0.2848296792;1.5538561889;-32.2986852895;10.2538041003;15.5224722811;32.2500000000;-10.6875000000;-13.5000000000
-9.8395347313;-0.7271632441;1.3001137126;-40.4627460908;10.8340296014;7.6573296187;31.8750000000;-10.6875000000;-14.6875000000
-9.0396769422;-0.6084570937;2.0387669343;-6.1647012427;9.6709978590;-7.6784588348;31.8750000000;-10.6875000000;-14.6875000000
-9.7621144535;0.6929688409;2.0846646029;0.2528046492;27.8722373487;0.5579403248;31.8750000000;-10.0000000000;-14.6875000000
-9.8429585291;-0.3724912719;1.6504238473;-30.5400242954;21.2253864292;-5.3620896386;32.6875000000;-9.5625000000;-13.0625000000
-9.0439785436;-0.4417234575;1.8617187453;-18.3392172301;3.4524640020;3.3994464288;32.6875000000;-9.5625000000;-13.0625000000
-9.9040194044;-0.1078074660;1.5631279470;-14.3898703805;10.9091055422;7.9007954802;33.0625000000;-10.2500000000;-11.5000000000
-10.5510138752;-1.2865145568;1.1487697111;-28.0274034427;-4.8329433488;3.4930462339;32.2500000000;-10.0000000000;-13.0625000000
-9.9294217064;-0.6930732944;1.1288075280;4.9358357228;-20.6023134273;7.0854785853;33.3750000000;-10.0000000000;-11.8750000000
-10.0413479139;-1.4076964235;1.2687723867;-3.6287444082;-18.3501840412;-4.9059393989;31.8750000000;-9.1875000000;-13.0625000000
-10.2150583126;-1.4753544420;0.8511772744;34.2959431209;-25.8664548522;-14.1560277017;31.8750000000;-9.1875000000;-13.0625000000
-9.8009916086;0.0302618491;1.3368618177;53.4326996388;-28.1047470858;-15.4307234383;31.8750000000;-10.0000000000;-13.5000000000
-9.6064045272;-0.5393982281;1.4530498150;29.1008445231;-16.3310700703;-25.6782900373;32.2500000000;-9.5625000000;-14.2500000000
-9.2515119996;-0.5171020475;1.8861939469;15.5142021168;-6.5094328457;-19.9471866439;31.5625000000;-9.5625000000;-13.8750000000
-9.7740132686;-0.3607024630;1.7671928396;3.4198889631;5.8407295017;-14.1765475128;32.2500000000;-10.0000000000;-15.5000000000
-9.6859162853;-0.5779148391;1.7874410872;10.2892014761;-6.6913775240;-10.2571329722;32.2500000000;-10.0000000000;-15.5000000000
-9.4425118284;-0.3934122881;1.7218085436;4.2475156999;0.5083599680;-3.3697579742;32.6875000000;-8.7500000000;-13.5000000000
-9.8955249502;-0.3904921300;1.2294052808;-7.8525848278;3.6080648103;0.3158876095;32.2500000000;-8.5000000000;-13.5000000000
-9.6706124634;-0.6139884535;1.1118733086;-14.5619556411;-0.1858849610;5.8872252493;31.1875000000;-8.1875000000;-13.8750000000
-9.8768029725;-0.8826008874;0.9881379042;-6.9290727498;8.1757448706;5.9156467900;32.2500000000;-8.5000000000;-14.2500000000
-9.9671838890;-0.3861349122;0.6897320508;-12.5256946172;13.2201340696;2.4315862215;32.2500000000;-8.5000000000;-14.2500000000
-9.7723160054;-0.5410200169;0.5960447842;-18.9012183044;22.7010527948;6.8463181498;32.2500000000;-8.7500000000;-13.0625000000
-9.6035465466;-0.8382903265;0.7790731811;-4.0629006574;42.7942881294;8.0413565613;32.6875000000;-8.1875000000;-13.8750000000
-10.0739756837;-0.3433806201;0.9663366420;0.4983704094;53.9512264607;6.4206856308;32.6875000000;-9.1875000000;-13.3750000000
-10.0030725968;-0.4774970511;0.5854817798;1.0437878986;49.3256159170;13.1716179596;32.6875000000;-8.5000000000;-13.5000000000
-11.0366240662;-0.1613123813;-0.7050449671;-22.7839482938;45.7850757228;12.9309547299;32.6875000000;-8.5000000000;-13.5000000000
-10.0813603516;-0.7875145496;-0.9931581288;-5.2482669144;48.2571311527;14.4968884801;33.7500000000;-10.0000000000;-11.5000000000
-10.3282795774;-0.1877020983;-0.6830922778;1.4413609353;69.7992282015;13.0740878103;34.1875000000;-9.5625000000;-9.0625000000
-11.0952042678;0.1010296374;-1.3858112515;-7.3643435542;71.9434586422;15.5175946207;33.7500000000;-10.2500000000;-7.5000000000
-10.6784943419;-0.3063217835;-1.7345275514;-9.0550737184;69.7222526570;21.4569995305;34.1875000000;-10.6875000000;-6.0000000000
-10.6291920009;0.4042039603;-2.9007831264;0.1240632238;69.6029161239;24.5439759552;34.1875000000;-10.6875000000;-6.0000000000
-9.9030255080;0.1715571265;-2.1168007389;-14.2172899117;95.3633720046;29.9161373795;33.3750000000;-11.5000000000;-4.3750000000
-11.0465168897;0.0987390830;-4.4002831905;16.8723264496;105.4276279192;24.5677539440;34.1875000000;-12.5000000000;-2.7500000000
-9.8256052437;1.4408313970;-3.6846514744;13.6853083689;106.7500168308;45.6017565168;33.3750000000;-14.0000000000;0.7500000000
-10.9276434778;0.2709822601;-5.7852127027;-18.3561768571;129.8450132867;37.5555141856;33.3750000000;-14.0000000000;0.7500000000
-9.0262101842;1.5538748780;-4.8330712660;40.5872351537;120.1220928469;46.1509976618;33.7500000000;-14.0000000000;3.8750000000
-7.9003011655;1.6833705599;-7.0023517947;17.3036964750;151.4912599881;30.3629325544;31.0625000000;-15.5000000000;7.5000000000
-6.0335442016;1.5647267763;-4.3209631467;41.1930184938;131.2463393548;59.3895089996;29.0000000000;-16.2500000000;11.8750000000
-8.4965784702;-0.1015377559;-6.7037360978;-37.7516389669;167.6056620270;49.1674837637;27.2500000000;-17.0000000000;15.0625000000
-4.7973010650;2.6743604746;-3.7813203232;18.7453395151;112.7475025176;57.6952901562;27.2500000000;-17.0000000000;15.0625000000
-5.5871599627;3.7233405800;-5.7919232943;-56.6047694182;135.6114310416;54.7337948712;24.6875000000;-18.5000000000;19.0625000000
-6.5373332446;3.5139244683;-5.5555884379;-119.4616037745;101.1846170489;76.0722834871;22.0625000000;-19.5625000000;21.7500000000
-3.8971557931;1.9514222241;-6.9867093623;-84.9106155464;33.0652240508;58.6033481962;18.0625000000;-23.2500000000;21.5000000000
-4.1155327175;4.6332199026;-7.6324198398;-36.3476229491;32.8574737954;35.7289259533;15.5000000000;-26.0000000000;21.0000000000
-3.6310992848;4.7009081856;-8.3907870894;-79.4217958453;27.9650654216;40.8649380218;15.5000000000;-26.0000000000;21.0000000000
-2.6754759918;1.5574400783;-8.3720421729;4.3585258609;28.0492181931;35.5938510443;14.0625000000;-27.0625000000;20.3750000000
-2.8862094112;3.6279385133;-7.3797698246;95.4604899676;46.8939548758;13.4243807776;13.2500000000;-28.5625000000;18.6875000000
-2.5414478068;2.2998664438;-6.7059059176;23.7750788436;31.7883362229;-0.1264828905;11.0625000000;-29.0000000000;20.2500000000
-2.6965525592;0.2947232614;-8.2305658406;68.9263825719;3.0445045541;-29.7785260072;11.5000000000;-27.5000000000;22.2500000000
-2.7799675483;3.8595368373;-8.7755182774;32.4053847404;-13.9050359400;-33.7724592922;11.5000000000;-27.5000000000;22.2500000000
-2.2169466517;2.3351187003;-10.0531548303;29.9331950333;-16.9301649395;-43.5171162360;10.5000000000;-27.0625000000;24.1875000000
-2.4698859591;3.0451167936;-10.0228994000;21.7858734110;4.5504799747;-36.9410976662;11.8750000000;-26.0000000000;23.5000000000
-3.1055146896;2.5079765447;-10.2625384633;66.5234653364;10.0006636289;-16.4383098869;13.0000000000;-24.5000000000;24.6875000000
-2.1116829837;1.4465807953;-8.8598740748;69.9533944077;16.2746443840;-24.3389246306;12.6875000000;-23.0000000000;26.2500000000
-2.7917194973;2.7691233644;-8.7837080648;81.6439817671;29.2637953539;-13.3254654212;12.6875000000;-23.0000000000;26.2500000000
-2.6250566310;0.2166282687;-9.3470497166;47.9008205253;10.8258072936;-28.5041423042;13.7500000000;-21.0625000000;26.5625000000
-1.7798444968;3.3238836444;-8.1421929725;82.1449372438;28.5282179572;-7.5617839896;12.6875000000;-19.0000000000;29.3750000000
-2.9939114337;1.7688706808;-9.6120587737;20.0781584273;30.6277343633;-20.6170774844;11.8750000000;-17.0625000000;30.1875000000
-2.4299889716;2.0010535651;-9.1182797378;1.2926416322;16.4961146388;-7.1442718147;11.8750000000;-16.6875000000;31.3750000000
-2.5936246796;1.7627383719;-10.7709976991;1.2463019598;-0.5084633999;1.6077962880;11.8750000000;-16.6875000000;31.3750000000
-1.9580572683;0.0294579518;-9.6447105973;-18.9488586202;-6.7776549802;2.1847405723;11.8750000000;-16.0000000000;31.0000000000
-2.2547469923;-0.1961544112;-9.8298413942;9.6510642437;-1.1742584036;7.6535344506;11.5000000000;-15.2500000000;29.3750000000
-1.8589651125;0.0692325594;-9.3421187782;-5.8843350382;-8.1792779984;-4.2563009101;11.8750000000;-16.3750000000;31.0000000000
-2.0867867198;0.2469602663;-9.5437265753;-4.6825261628;-4.9015816109;-8.9754865303;12.2500000000;-16.3750000000;30.5000000000
-2.5088441876;0.2059830911;-9.6175719997;3.7030585281;-4.7810612988;-5.1248224257;12.2500000000;-16.3750000000;30.5000000000
-2.2058717213;1.4678517244;-9.5492154185;8.0226778360;-6.6803086087;-8.7233044484;12.6875000000;-16.6875000000;30.5000000000
-2.3328945825;0.2533291340;-9.6441195380;-5.5838333499;-8.7162866435;0.0000000000;12.6875000000;-16.0000000000;30.0625000000
-2.2996982700;1.1026326889;-9.5254934438;9.8410431588;-2.7890125532;-1.9972655893;12.6875000000;-15.8750000000;30.8750000000
-2.5105419075;-0.2586411600;-9.1521379347;-8.5658143718;-0.7375323951;-7.9853058851;12.2500000000;-16.0000000000;31.0000000000
-2.5081015648;0.5502668827;-9.7390092990;2.3267221760;-8.7771796955;0.2476080744;12.2500000000;-16.0000000000;31.0000000000
-2.4561658762;0.4403495026;-9.6974750044;-2.9815753849;-0.9550971227;-11.9800368186;13.3750000000;-16.0000000000;31.3750000000
-2.4791079786;1.2444715768;-10.1961985876;-3.1732604876;-0.2463766741;-0.6222013705;12.2500000000;-16.0000000000;30.5625000000
-2.4527851126;0.3104235136;-9.5257148814;9.3325121093;-0.8855213450;-2.8352029703;13.0000000000;-15.5625000000;30.1875000000
-2.4119229445;0.7611659994;-9.3954573759;3.0779628697;6.6240460942;-2.6656513930;13.3750000000;-15.2500000000;30.5000000000
-2.5558217579;0.5569812089;-9.1154237085;-0.3791074351;-0.6270611079;-0.3768919806;13.3750000000;-15.2500000000;30.5000000000
-2.3975271440;0.2999032480;-9.8126278393;2.4087787187;-3.5621857528;-0.9232961292;13.7500000000;-15.5625000000;29.7500000000
-2.3730097738;0.6770345595;-9.1587820329;-1.8418230793;1.4161566242;-6.0588892461;13.3750000000;-16.3750000000;29.6875000000
-2.6178480147;0.3039309642;-9.5164061879;-11.1735513927;-3.8996825176;-0.9916049744;13.0000000000;-16.0000000000;30.1875000000
-2.1073641540;0.6003726269;-9.9881889740;8.7760648398;-7.4511911596;-0.2496508875;13.7500000000;-14.7500000000;30.1875000000
