time index;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z;quat_w;quat_x;quat_y;quat_z
1;-9.6600000000;-0.9400000000;-0.9600000000;0.4375000000;2.0000000000;-2.5625000000;52.5000000000;-10.0000000000;-3.3750000000;0.6622310000;0.2275390000;-0.7047730000;0.1141970000
2;-9.6500000000;-1.1800000000;-0.9200000000;-6.1875000000;-1.6875000000;1.6250000000;53.1875000000;-9.1875000000;-4.5625000000;0.6618650000;0.2285160000;-0.7045900000;0.1154790000
3;-9.3900000000;-1.4000000000;-1.2400000000;-2.8125000000;-4.3750000000;0.5625000000;53.1875000000;-9.1875000000;-2.1875000000;0.6624760000;0.2280270000;-0.7040410000;0.1160890000
4;-9.6400000000;-1.1000000000;-1.1400000000;1.0000000000;-0.1250000000;-0.1875000000;53.1875000000;-9.1875000000;-2.1875000000;0.6627810000;0.2276000000;-0.7039180000;0.1159670000
5;-9.7800000000;-1.5700000000;-1.0500000000;-12.3125000000;0.6250000000;1.7500000000;53.1875000000;-8.0625000000;-3.7500000000;0.6616820000;0.2293700000;-0.7039790000;0.1182250000
6;-9.5600000000;-1.5400000000;-1.1900000000;-2.2500000000;2.0000000000;-0.8125000000;53.1875000000;-7.7500000000;-4.1875000000;0.6607060000;0.2318730000;-0.7036740000;0.1207890000
7;-9.5800000000;-0.9400000000;-1.0000000000;12.3125000000;3.7500000000;-1.9375000000;52.7500000000;-9.1875000000;-3.0000000000;0.6607060000;0.2302250000;-0.7047120000;0.1176760000
8;-9.6400000000;-1.5600000000;-1.1200000000;3.1250000000;3.2500000000;4.7500000000;52.5000000000;-9.5625000000;-3.3750000000;0.6604000000;0.2282100000;-0.7059330000;0.1159670000
9;-9.6200000000;-1.9200000000;-1.2200000000;-1.2500000000;4.2500000000;-0.4375000000;52.5000000000;-9.5625000000;-3.3750000000;0.6592410000;0.2284550000;-0.7068480000;0.1166990000
10;-9.6700000000;-1.1200000000;-1.5800000000;5.0000000000;8.3750000000;-5.8750000000;52.5000000000;-7.7500000000;-2.1875000000;0.6585080000;0.2282710000;-0.7080080000;0.1139530000
11;-9.6000000000;-1.3700000000;-1.6500000000;5.1875000000;8.8750000000;-1.1250000000;53.1875000000;-7.3750000000;-3.3750000000;0.6565550000;0.2295530000;-0.7096560000;0.1124880000
12;-9.8300000000;-1.2900000000;-1.2800000000;10.3125000000;10.5000000000;1.3125000000;52.7500000000;-8.8750000000;-3.0000000000;0.6541750000;0.2277830000;-0.7128910000;0.1093140000
13;-9.5500000000;-1.2100000000;-1.6200000000;6.3125000000;7.1250000000;0.2500000000;52.5000000000;-8.0625000000;-2.1875000000;0.6524050000;0.2266240000;-0.7152100000;0.1072390000
14;-9.6000000000;-1.3200000000;-1.2500000000;2.1250000000;11.6875000000;2.3125000000;52.5000000000;-8.0625000000;-2.1875000000;0.6500850000;0.2254030000;-0.7179570000;0.1055910000
15;-9.6200000000;-1.5800000000;-1.2700000000;5.4375000000;10.2500000000;1.5000000000;52.7500000000;-9.5625000000;-1.7500000000;0.6474000000;0.2249760000;-0.7205810000;0.1047970000
16;-9.6500000000;-0.8700000000;-1.4900000000;13.6250000000;10.5625000000;-0.3125000000;52.7500000000;-8.0625000000;-1.0000000000;0.6458740000;0.2221680000;-0.7233890000;0.1008300000
17;-9.4500000000;-1.0700000000;-2.5600000000;-2.0000000000;7.1250000000;2.0000000000;53.5000000000;-8.0625000000;-0.2500000000;0.6438600000;0.2214360000;-0.7256470000;0.0994260000
18;-9.5800000000;-0.5300000000;-6.3100000000;33.8750000000;14.7500000000;0.6250000000;52.7500000000;-8.0625000000;-0.2500000000;0.6432500000;0.2182620000;-0.7276610000;0.0950930000
19;-10.4900000000;-0.6500000000;-5.8600000000;44.6250000000;63.3125000000;13.1875000000;52.7500000000;-8.0625000000;-0.2500000000;0.6348270000;0.2070920000;-0.7398070000;0.0819700000
20;-10.2600000000;-0.8400000000;-5.5300000000;9.8125000000;69.5625000000;19.0625000000;53.1875000000;-8.8750000000;0.1875000000;0.6182250000;0.1990970000;-0.7567140000;0.0745240000
21;-10.9200000000;-1.9000000000;-6.6500000000;-6.2500000000;64.3750000000;26.8125000000;52.5000000000;-8.8750000000;2.8750000000;0.6005250000;0.1962280000;-0.7713620000;0.0769040000
22;-10.9700000000;-2.3700000000;-6.1600000000;14.6875000000;70.8750000000;23.6875000000;52.0625000000;-10.6875000000;6.8750000000;0.5822750000;0.1884160000;-0.7874150000;0.0735470000
23;-11.0900000000;-2.0200000000;-6.3900000000;16.8125000000;77.3750000000;12.2500000000;52.7500000000;-11.8750000000;10.0625000000;0.5624390000;0.1823120000;-0.8037720000;0.0664060000
24;-11.2100000000;-2.1200000000;-6.7700000000;21.6250000000;97.0625000000;2.2500000000;52.7500000000;-11.8750000000;10.0625000000;0.5390620000;0.1796260000;-0.8208620000;0.0573120000
25;-11.2100000000;-2.3600000000;-5.8300000000;19.6250000000;112.1250000000;-8.0625000000;51.2500000000;-13.6875000000;12.2500000000;0.5098880000;0.1784060000;-0.8403930000;0.0437010000
26;-11.1200000000;-1.6900000000;-6.3700000000;18.6875000000;109.1875000000;-14.9375000000;50.5625000000;-12.3750000000;17.0000000000;0.4794310000;0.1812130000;-0.8581540000;0.0299070000
27;-10.4300000000;-2.3100000000;-5.9300000000;25.5000000000;115.0000000000;-13.6250000000;48.3750000000;-11.7500000000;20.0625000000;0.4476930000;0.1829220000;-0.8751830000;0.0138550000
28;-10.2900000000;-0.9600000000;-6.5400000000;17.8750000000;113.5625000000;-26.3125000000;48.3750000000;-11.7500000000;20.0625000000;0.4147340000;0.1875610000;-0.8903810000;-0.0024410000
29;-9.4800000000;-1.9200000000;-6.0400000000;13.7500000000;116.5625000000;-16.3125000000;47.0625000000;-13.1875000000;25.1875000000;0.3805540000;0.1905520000;-0.9047850000;-0.0168460000
30;-8.6200000000;-0.9400000000;-5.8800000000;20.8125000000;114.0625000000;-24.5000000000;44.6875000000;-10.5625000000;29.0625000000;0.3463750000;0.1948240000;-0.9170530000;-0.0325320000
31;-7.7300000000;-0.4800000000;-5.3500000000;23.2500000000;109.3750000000;-11.1250000000;41.6875000000;-11.0000000000;31.2500000000;0.3138430000;0.1970830000;-0.9275510000;-0.0483400000
32;-6.9500000000;-1.5900000000;-5.9900000000;10.9375000000;94.3750000000;-4.6875000000;37.6875000000;-10.2500000000;34.8750000000;0.2839970000;0.1956180000;-0.9367680000;-0.0591430000
33;-5.8700000000;-1.3800000000;-6.2000000000;32.7500000000;95.2500000000;7.0000000000;37.6875000000;-10.2500000000;34.8750000000;0.2633060000;0.1914670000;-0.9428710000;-0.0707400000
34;-5.2100000000;-2.0200000000;-6.2600000000;-21.5625000000;89.1875000000;3.9375000000;34.7500000000;-8.6875000000;36.5000000000;0.2260740000;0.1868290000;-0.9530030000;-0.0756840000
35;-4.1700000000;-2.1700000000;-6.0300000000;13.2500000000;81.6875000000;3.1250000000;31.1875000000;-7.8750000000;39.1875000000;0.1998900000;0.1834110000;-0.9589230000;-0.0827030000
36;-4.2500000000;-1.9900000000;-5.9900000000;-3.6875000000;78.8125000000;-11.9375000000;27.8750000000;-9.0000000000;41.5625000000;0.1742550000;0.1837770000;-0.9633180000;-0.0890500000
37;-2.9200000000;-3.6400000000;-9.0300000000;3.1250000000;69.3750000000;-18.8125000000;24.8750000000;-7.8750000000;43.1875000000;0.1572270000;0.1865840000;-0.9655760000;-0.0900880000
38;-3.0700000000;-2.3900000000;-7.2200000000;48.3750000000;77.8750000000;-20.2500000000;24.8750000000;-7.8750000000;43.1875000000;0.1336060000;0.1894530000;-0.9669190000;-0.1062010000
39;-2.3100000000;-2.4600000000;-7.6200000000;19.9375000000;58.5000000000;-14.5000000000;22.0625000000;-8.6875000000;44.0000000000;0.1090090000;0.1917110000;-0.9674070000;-0.1246340000
40;-1.4200000000;-3.4900000000;-9.1300000000;35.5000000000;44.8750000000;-16.0625000000;18.6875000000;-5.6875000000;45.1875000000;0.0947270000;0.1936650000;-0.9666140000;-0.1384280000
41;-1.1900000000;-1.9800000000;-7.4800000000;56.9375000000;81.6250000000;-23.4375000000;16.6875000000;-4.5000000000;45.1875000000;0.0727540000;0.1953120000;-0.9645390000;-0.1618040000
42;-0.8400000000;-1.1900000000;-6.0600000000;37.5625000000;82.1875000000;-4.7500000000;14.6875000000;-2.2500000000;45.1875000000;0.0533450000;0.1938480000;-0.9636230000;-0.1760860000
43;-0.9200000000;-1.5200000000;-4.9400000000;9.2500000000;23.0625000000;11.1875000000;14.6875000000;-2.2500000000;45.1875000000;0.0393680000;0.1887210000;-0.9634400000;-0.1860960000
44;-0.0900000000;-1.4300000000;-5.5600000000;-35.7500000000;-17.7500000000;22.8125000000;10.8750000000;-0.3750000000;45.5625000000;0.0433350000;0.1812740000;-0.9667360000;-0.1751710000
45;1.2100000000;-3.5200000000;-8.0700000000;-28.8125000000;-22.4375000000;24.8125000000;9.5625000000;-0.2500000000;46.5000000000;0.0504150000;0.1746220000;-0.9695430000;-0.1640620000
46;0.4600000000;-1.9100000000;-9.3700000000;-27.2500000000;17.6250000000;-5.2500000000;10.1875000000;-1.0625000000;46.7500000000;0.0452270000;0.1754150000;-0.9712520000;-0.1544190000
47;-0.2000000000;-1.5200000000;-7.3900000000;-43.8750000000;10.5625000000;21.5625000000;11.0000000000;-3.0000000000;46.5000000000;0.0402220000;0.1715090000;-0.9735720000;-0.1452640000
48;-0.1900000000;-2.4400000000;-8.6400000000;-32.1250000000;-2.1250000000;8.6875000000;11.0000000000;-3.0000000000;46.5000000000;0.0375980000;0.1669310000;-0.9762570000;-0.1326290000
49;-0.5000000000;-2.5300000000;-9.3200000000;-39.5000000000;-8.8750000000;0.0000000000;9.0625000000;-5.0625000000;45.6875000000;0.0380860000;0.1682130000;-0.9780270000;-0.1170040000
50;-0.6100000000;-1.9300000000;-9.0300000000;-14.6250000000;-11.1875000000;-3.3125000000;9.7500000000;-5.8750000000;45.6875000000;0.0397340000;0.1722410000;-0.9780270000;-0.1104740000
51;-1.2400000000;-1.7300000000;-10.3000000000;-36.6250000000;-22.5000000000;7.9375000000;9.3750000000;-7.6875000000;46.5000000000;0.0452270000;0.1728520000;-0.9783940000;-0.1040040000
52;-0.5900000000;-3.1500000000;-11.1200000000;-55.3750000000;-9.5625000000;5.5000000000;10.8750000000;-7.3750000000;46.0625000000;0.0481570000;0.1743160000;-0.9799800000;-0.0831300000
53;-0.8500000000;-1.7900000000;-9.8400000000;5.5000000000;7.4375000000;-3.5000000000;10.8750000000;-7.3750000000;46.0625000000;0.0460820000;0.1752320000;-0.9804080000;-0.0776370000
54;-1.1300000000;-1.7200000000;-9.3400000000;12.0000000000;-1.8125000000;-0.3125000000;10.5000000000;-10.0000000000;45.6875000000;0.0457150000;0.1759640000;-0.9798580000;-0.0825200000
55;-0.5300000000;-2.0100000000;-9.9100000000;24.6250000000;-3.3750000000;-6.7500000000;10.8750000000;-10.6875000000;44.8750000000;0.0487670000;0.1782840000;-0.9786990000;-0.0890500000
56;-0.9500000000;-1.3100000000;-9.7600000000;-6.3125000000;-3.5000000000;-4.9375000000;10.5000000000;-10.2500000000;44.5000000000;0.0499880000;0.1815190000;-0.9778440000;-0.0912480000
57;-0.7300000000;-1.8400000000;-9.5200000000;-18.6875000000;-1.8125000000;0.1875000000;11.1875000000;-8.7500000000;44.8750000000;0.0498660000;0.1846310000;-0.9779050000;-0.0845950000
58;-0.6900000000;-1.7700000000;-9.3500000000;5.9375000000;-3.3125000000;-5.1875000000;11.1875000000;-8.7500000000;44.8750000000;0.0501100000;0.1857300000;-0.9777830000;-0.0834350000
59;-0.8300000000;-1.4400000000;-9.7400000000;-6.5625000000;-1.0625000000;-3.8750000000;10.5000000000;-9.5625000000;46.0625000000;0.0508420000;0.1874390000;-0.9773560000;-0.0839840000
60;-0.5900000000;-1.7100000000;-9.6400000000;-7.6875000000;2.0625000000;-1.3750000000;11.1875000000;-9.5625000000;46.5000000000;0.0497440000;0.1889650000;-0.9774170000;-0.0808110000
61;-0.9300000000;-1.8000000000;-8.9900000000;-1.1250000000;3.3750000000;-4.3750000000;11.1875000000;-10.0000000000;44.8750000000;0.0484620000;0.1910400000;-0.9771730000;-0.0794680000
62;-1.0000000000;-0.7000000000;-9.5400000000;-21.8125000000;-1.9375000000;1.8125000000;11.5625000000;-10.0000000000;44.5000000000;0.0485840000;0.1936650000;-0.9768070000;-0.0772090000
63;-0.4700000000;-2.3200000000;-9.5400000000;-45.8750000000;2.1250000000;4.4375000000;11.5625000000;-10.0000000000;44.5000000000;0.0462040000;0.1925050000;-0.9782100000;-0.0621340000
64;-0.9000000000;-0.8900000000;-8.4900000000;-4.2500000000;4.1250000000;-6.6250000000;10.5000000000;-11.0625000000;45.2500000000;0.0432740000;0.1941530000;-0.9783940000;-0.0559080000
65;-0.7300000000;-1.1000000000;-9.6600000000;-41.0000000000;-11.7500000000;-1.8125000000;11.5625000000;-12.0625000000;44.5000000000;0.0437010000;0.1970830000;-0.9782710000;-0.0472410000
66;-0.6800000000;-0.7600000000;-9.6600000000;-24.0625000000;-2.5625000000;-4.5000000000;11.1875000000;-13.2500000000;45.2500000000;0.0435790000;0.1992190000;-0.9783330000;-0.0357670000
67;-1.0400000000;-0.1300000000;-9.3300000000;-33.3125000000;-9.3750000000;-0.7500000000;12.0000000000;-14.7500000000;45.2500000000;0.0434570000;0.2008060000;-0.9782710000;-0.0281370000
68;-0.8400000000;-0.7800000000;-9.8800000000;-61.3750000000;-14.6875000000;2.9375000000;12.0000000000;-14.7500000000;45.2500000000;0.0440670000;0.2016600000;-0.9784550000;-0.0067140000
69;-1.1600000000;-0.4100000000;-9.3200000000;-34.8750000000;-10.9375000000;-5.4375000000;12.0000000000;-15.5000000000;44.5000000000;0.0449830000;0.2030030000;-0.9780880000;0.0080570000
70;-0.8500000000;0.4400000000;-9.9600000000;-14.3125000000;-20.0000000000;-7.7500000000;12.6875000000;-17.6875000000;42.8750000000;0.0491330000;0.2064820000;-0.9770510000;0.0169680000
71;-1.4400000000;0.8800000000;-10.0300000000;-47.3750000000;-14.8750000000;-3.3125000000;13.0000000000;-18.5000000000;41.6875000000;0.0520630000;0.2096560000;-0.9759520000;0.0285640000
72;-1.0000000000;-0.2200000000;-9.6500000000;-21.3750000000;-4.9375000000;-0.1875000000;13.7500000000;-19.8750000000;42.5000000000;0.0526120000;0.2097780000;-0.9754640000;0.0408940000
73;-1.3300000000;0.4200000000;-9.5800000000;-5.0000000000;-2.5625000000;-6.3125000000;13.7500000000;-19.8750000000;42.5000000000;0.0527950000;0.2115480000;-0.9749150000;0.0443120000
74;-1.1300000000;0.5600000000;-9.4500000000;21.0625000000;-0.8750000000;-8.1875000000;14.5000000000;-21.0000000000;41.0000000000;0.0541380000;0.2147220000;-0.9743040000;0.0407100000
75;-1.6600000000;1.0700000000;-9.3400000000;17.8750000000;-4.6250000000;-1.5000000000;14.5000000000;-20.5625000000;40.2500000000;0.0564580000;0.2169190000;-0.9739990000;0.0333250000
76;-1.1600000000;0.3700000000;-9.9900000000;2.7500000000;-4.6250000000;1.7500000000;14.5000000000;-20.5625000000;40.6875000000;0.0585330000;0.2166750000;-0.9739990000;0.0317380000
