time index;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z;quat_w;quat_x;quat_y;quat_z
15;-9.6900000000;-1.6000000000;-0.4200000000;-2.6250000000;0.3125000000;3.5625000000;45.8750000000;-5.5625000000;-9.6875000000;0.6773680000;0.2852780000;-0.6536250000;0.1805420000
16;-9.8300000000;-1.2300000000;-0.7900000000;2.5000000000;3.0000000000;3.4375000000;46.5625000000;-7.7500000000;-9.6875000000;0.6763310000;0.2836300000;-0.6555790000;0.1797490000
17;-9.8900000000;-1.3300000000;-1.6700000000;-8.8750000000;7.2500000000;6.5625000000;45.8750000000;-6.5625000000;-8.5000000000;0.6740110000;0.2835690000;-0.6575930000;0.1813350000
18;-10.2800000000;-1.2500000000;-2.3300000000;-11.4375000000;18.6875000000;7.8125000000;45.8750000000;-5.5625000000;-8.8750000000;0.6701660000;0.2850950000;-0.6602170000;0.1834720000
19;-10.3400000000;-1.1700000000;-2.7500000000;-0.5000000000;31.7500000000;15.0625000000;45.8750000000;-5.5625000000;-8.8750000000;0.6630250000;0.2850950000;-0.6671140000;0.1845700000
20;-10.5800000000;-0.8200000000;-3.2100000000;-12.0625000000;39.0000000000;15.5000000000;46.5625000000;-5.8750000000;-8.5000000000;0.6503300000;0.2857060000;-0.6786500000;0.1867680000
21;-10.5900000000;-1.4700000000;-5.2500000000;-23.2500000000;51.8125000000;24.0000000000;46.5625000000;-7.3750000000;-7.6875000000;0.6353150000;0.2880860000;-0.6904300000;0.1916500000
22;-11.0500000000;-1.6700000000;-4.4600000000;-3.4375000000;87.3125000000;16.2500000000;47.0000000000;-7.7500000000;-5.6875000000;0.6140750000;0.2905270000;-0.7091670000;0.1886600000
23;-11.0600000000;-1.0800000000;-3.7800000000;6.3125000000;83.3750000000;10.5000000000;47.0000000000;-9.2500000000;-3.0000000000;0.5986940000;0.2901000000;-0.7241210000;0.1817630000
24;-10.9600000000;-0.9200000000;-4.4000000000;17.5625000000;78.8125000000;17.2500000000;47.0000000000;-9.2500000000;-3.0000000000;0.5793460000;0.2889400000;-0.7420650000;0.1737670000
25;-10.8500000000;-0.6400000000;-4.3900000000;25.5000000000;92.7500000000;13.8125000000;47.7500000000;-10.6875000000;0.5625000000;0.5592650000;0.2836910000;-0.7620850000;0.1612550000
