time index;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z;quat_w;quat_x;quat_y;quat_z
1;-9.5900000000;-0.7700000000;-0.4400000000;0.0625000000;1.3125000000;1.0625000000;50.6875000000;-10.2500000000;-7.0625000000;0.6691280000;0.2280270000;-0.6872560000;0.1670530000
2;-9.6500000000;-0.8900000000;-0.4700000000;-2.4375000000;-0.5625000000;-0.2500000000;49.5625000000;-10.6875000000;-7.0625000000;0.6690670000;0.2285160000;-0.6870730000;0.1674190000
3;-9.5800000000;-0.6900000000;-0.4900000000;4.8750000000;-0.2500000000;-1.2500000000;49.5625000000;-10.6875000000;-6.3750000000;0.6695560000;0.2277830000;-0.6871340000;0.1662600000
4;-9.6200000000;-0.7700000000;-0.4000000000;-3.5000000000;-0.1875000000;-0.3125000000;49.5625000000;-10.6875000000;-6.3750000000;0.6693730000;0.2283940000;-0.6869510000;0.1667480000
5;-9.6200000000;-0.8400000000;-0.5200000000;1.1875000000;-1.0000000000;-1.1250000000;50.0000000000;-10.2500000000;-6.6875000000;0.6694950000;0.2288210000;-0.6867680000;0.1667480000
6;-9.6100000000;-0.6800000000;-0.3900000000;2.3750000000;-0.2500000000;-0.8750000000;49.5625000000;-9.8750000000;-5.8750000000;0.6697390000;0.2283330000;-0.6868900000;0.1658940000
7;-9.6600000000;-0.7800000000;-0.4800000000;-5.0625000000;-0.1250000000;-0.8750000000;50.0000000000;-10.2500000000;-6.3750000000;0.6694950000;0.2294920000;-0.6865230000;0.1666870000
8;-9.5500000000;-0.6000000000;-0.4700000000;6.0625000000;-0.3125000000;-1.3125000000;51.0000000000;-9.5625000000;-6.6875000000;0.6698610000;0.2290040000;-0.6865230000;0.1658940000
9;-9.6500000000;-0.7300000000;-0.3500000000;-3.1875000000;1.3125000000;0.0625000000;51.0000000000;-9.5625000000;-6.6875000000;0.6698610000;0.2287600000;-0.6867070000;0.1654660000
10;-9.6200000000;-0.9000000000;-0.5200000000;-0.1875000000;-1.1875000000;-0.5625000000;50.0000000000;-11.3750000000;-7.0625000000;0.6698610000;0.2293090000;-0.6864620000;0.1659550000
11;-9.5700000000;-0.5600000000;-0.4800000000;4.3125000000;-0.1250000000;-2.0000000000;49.5625000000;-10.6875000000;-8.2500000000;0.6703490000;0.2286990000;-0.6865230000;0.1644900000
12;-9.6400000000;-0.7400000000;-0.3600000000;-5.6250000000;0.2500000000;-0.3750000000;50.0000000000;-11.3750000000;-6.3750000000;0.6699220000;0.2296750000;-0.6863400000;0.1654050000
13;-9.5300000000;-0.6900000000;-0.5300000000;4.8750000000;-0.6250000000;-0.5625000000;50.2500000000;-10.6875000000;-7.5000000000;0.6701660000;0.2294310000;-0.6862790000;0.1652220000
14;-9.6600000000;-0.7000000000;-0.4200000000;-1.7500000000;0.9375000000;0.5625000000;50.2500000000;-10.6875000000;-7.5000000000;0.6702270000;0.2290040000;-0.6864620000;0.1646730000
15;-9.6400000000;-0.9800000000;-0.5200000000;-2.8750000000;-0.3125000000;1.0625000000;50.2500000000;-10.2500000000;-6.2500000000;0.6698610000;0.2297360000;-0.6862790000;0.1658940000
16;-9.5600000000;-0.5800000000;-0.5200000000;5.4375000000;-0.0625000000;-1.0000000000;50.0000000000;-9.5625000000;-7.5000000000;0.6702270000;0.2289430000;-0.6865230000;0.1647340000
17;-9.6200000000;-0.8200000000;-0.4600000000;-5.2500000000;1.0625000000;0.7500000000;50.2500000000;-10.6875000000;-6.6875000000;0.6696780000;0.2296750000;-0.6865230000;0.1655880000
18;-9.6000000000;-0.7900000000;-0.5400000000;3.3125000000;-0.3750000000;-0.2500000000;50.2500000000;-11.3750000000;-7.0625000000;0.6696780000;0.2297360000;-0.6865230000;0.1655880000
19;-9.6000000000;-0.7600000000;-0.4600000000;-0.7500000000;1.0000000000;0.3750000000;50.2500000000;-11.3750000000;-7.0625000000;0.6697390000;0.2291260000;-0.6868290000;0.1649170000
20;-9.6100000000;-0.9000000000;-0.6100000000;-2.1875000000;-0.9375000000;0.2500000000;49.1875000000;-9.8750000000;-7.0625000000;0.6694950000;0.2299190000;-0.6866460000;0.1658330000
21;-9.6000000000;-0.5400000000;-0.3400000000;3.9375000000;1.8125000000;-0.2500000000;50.6875000000;-11.3750000000;-7.8750000000;0.6695560000;0.2291260000;-0.6870120000;0.1648560000
22;-9.6300000000;-0.7700000000;-0.5400000000;-4.4375000000;-0.1250000000;0.9375000000;50.0000000000;-9.5625000000;-6.6875000000;0.6692500000;0.2296140000;-0.6869510000;0.1656490000
23;-9.6100000000;-0.7700000000;-0.4600000000;-0.0625000000;1.0000000000;0.6875000000;49.5625000000;-9.5625000000;-7.0625000000;0.6690060000;0.2298580000;-0.6870120000;0.1662600000
24;-9.5500000000;-0.7800000000;-0.5000000000;0.8750000000;-0.7500000000;0.1250000000;49.5625000000;-9.5625000000;-7.0625000000;0.6689450000;0.2297360000;-0.6871340000;0.1661380000
25;-9.6200000000;-0.7400000000;-0.5500000000;-2.1250000000;0.2500000000;0.0000000000;51.0625000000;-10.2500000000;-8.2500000000;0.6689450000;0.2299800000;-0.6869510000;0.1664430000
26;-9.6100000000;-0.6900000000;-0.3000000000;2.3125000000;1.2500000000;-0.1250000000;50.0000000000;-9.1875000000;-6.3750000000;0.6688840000;0.2298580000;-0.6871340000;0.1661990000
