acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
-0.0686000000;-0.1372000000;9.3296000000;-4.1037500000;-0.1225000000;-1.2250000000;-2.0625000000;-9.0000000000;-42.1875000000
-0.2254000000;-0.3920000000;9.5354000000;1.4087500000;0.1225000000;-0.6737500000;-2.0625000000;-9.3750000000;-43.6875000000
-0.0882000000;-0.3920000000;9.6628000000;3.4912500000;1.2250000000;0.4900000000;-1.7500000000;-9.0000000000;-43.7500000000
-0.1568000000;-0.2842000000;9.6530000000;-1.2862500000;-0.2450000000;0.8575000000;-1.7500000000;-9.0000000000;-43.7500000000
-0.1764000000;-0.0588000000;9.3198000000;-0.0612500000;-0.0612500000;-0.7350000000;-2.5000000000;-8.2500000000;-42.8750000000
-0.1764000000;-0.3234000000;9.5452000000;0.0000000000;0.0000000000;0.1225000000;-2.5000000000;-9.3750000000;-44.1875000000
-0.1078000000;-0.2254000000;9.4472000000;1.2862500000;0.2450000000;-0.1225000000;-1.3750000000;-7.8750000000;-43.2500000000
-0.1274000000;-0.1764000000;9.4864000000;4.2875000000;0.6737500000;-1.6537500000;-2.0625000000;-9.0000000000;-43.2500000000
-0.0098000000;-0.4998000000;9.8196000000;-3.4912500000;-0.3675000000;1.2862500000;-2.0625000000;-9.0000000000;-43.2500000000
-0.1470000000;-0.4018000000;9.6334000000;-0.4287500000;-0.3675000000;0.6125000000;-1.7500000000;-8.5625000000;-42.0625000000
-0.0784000000;-0.0882000000;9.4766000000;2.8175000000;-0.7350000000;-0.9187500000;-1.7500000000;-9.0000000000;-44.5000000000
-0.1078000000;-0.2058000000;9.5844000000;-1.5925000000;0.2450000000;-0.2450000000;-2.5000000000;-9.0000000000;-42.8750000000
-0.1274000000;-0.4508000000;9.6334000000;0.3062500000;-0.4287500000;-0.3675000000;-1.7500000000;-8.5625000000;-43.7500000000
-0.0980000000;-0.1470000000;9.4766000000;4.2875000000;-0.6125000000;0.3675000000;-1.7500000000;-8.5625000000;-43.7500000000
-0.1078000000;-0.1470000000;9.5354000000;-0.7350000000;-0.3675000000;0.0000000000;-1.7500000000;-9.0000000000;-42.5000000000
-0.0588000000;-0.3332000000;9.6334000000;1.2250000000;0.1225000000;0.3675000000;-1.7500000000;-8.5625000000;-44.1875000000
-0.1078000000;-0.1372000000;9.4374000000;1.8987500000;0.7350000000;-0.3675000000;-2.8750000000;-9.0000000000;-43.2500000000
-0.1764000000;-0.3038000000;9.6432000000;-3.0012500000;0.0000000000;0.8575000000;-2.8750000000;-9.0000000000;-42.8750000000
-0.2450000000;-0.3920000000;9.7020000000;2.2050000000;0.6737500000;-0.3062500000;-2.8750000000;-9.0000000000;-42.8750000000
-0.1862000000;-0.3136000000;9.4962000000;-0.5512500000;0.6737500000;-0.7350000000;-2.5000000000;-9.3750000000;-44.1875000000
-0.0882000000;-0.3724000000;9.6138000000;1.6537500000;-0.4900000000;1.7150000000;-1.7500000000;-8.5625000000;-42.5000000000
-0.1666000000;-0.0490000000;9.5060000000;0.8575000000;-0.1225000000;-0.2450000000;-3.2500000000;-8.5625000000;-43.7500000000
-0.1372000000;-0.0882000000;9.5354000000;1.3475000000;0.0612500000;-0.7350000000;-2.5000000000;-9.3750000000;-43.7500000000
-0.1764000000;-0.3038000000;9.7118000000;1.4700000000;-1.1637500000;-1.4700000000;-2.5000000000;-9.3750000000;-43.7500000000
-0.0392000000;-0.2548000000;9.5550000000;-1.0412500000;0.0000000000;-0.1225000000;-2.5000000000;-9.0000000000;-43.6875000000
-0.1960000000;-0.2352000000;9.5746000000;-1.2862500000;-0.2450000000;-0.4287500000;-2.0625000000;-9.3750000000;-43.2500000000
-0.1470000000;-0.4606000000;9.5550000000;1.1637500000;0.4287500000;-0.6125000000;-2.5000000000;-9.6875000000;-44.1875000000
-0.1960000000;-0.2450000000;9.5060000000;-0.8575000000;-0.3062500000;0.4287500000;-3.2500000000;-9.3750000000;-43.7500000000
-0.1372000000;-0.2646000000;9.6432000000;-2.0825000000;-0.1225000000;-0.1837500000;-3.2500000000;-9.3750000000;-43.7500000000
-0.1274000000;-0.1960000000;9.5060000000;-0.1837500000;0.1225000000;0.6737500000;-2.8750000000;-8.2500000000;-43.2500000000
-0.0882000000;-0.0588000000;9.4962000000;1.3475000000;-0.0612500000;0.0612500000;-2.5000000000;-9.3750000000;-43.2500000000
-0.1470000000;-0.0196000000;9.5256000000;-0.4900000000;0.4900000000;-0.6125000000;-2.0625000000;-9.3750000000;-43.2500000000
-0.2254000000;-0.3920000000;9.5942000000;-1.3475000000;-0.1225000000;-0.8575000000;-3.2500000000;-9.6875000000;-44.5000000000
-0.1274000000;-0.2450000000;9.6334000000;2.6950000000;-0.4287500000;-0.0612500000;-3.2500000000;-9.6875000000;-44.5000000000
-0.0980000000;-0.3724000000;9.6628000000;-1.8987500000;0.4287500000;-1.4087500000;-2.5000000000;-8.5625000000;-43.6875000000
-0.1372000000;-0.4508000000;9.5844000000;-1.7150000000;-0.0612500000;0.7350000000;-2.0625000000;-8.5625000000;-43.2500000000
-0.1764000000;-0.2254000000;9.6334000000;-2.1437500000;0.0000000000;1.4087500000;-2.0625000000;-9.3750000000;-43.7500000000
-0.0098000000;-0.0686000000;9.3982000000;0.4900000000;-1.9600000000;0.6737500000;-2.0625000000;-9.3750000000;-43.7500000000
-0.1666000000;0.0686000000;9.5648000000;1.5312500000;1.1637500000;-1.3475000000;-2.5000000000;-8.5625000000;-43.2500000000
-0.1470000000;-0.1960000000;9.5256000000;-2.1437500000;-0.7350000000;-0.3675000000;-1.7500000000;-8.5625000000;-42.5000000000
-0.0980000000;-0.3724000000;9.5648000000;-1.4700000000;0.0612500000;-0.8575000000;-2.5000000000;-8.5625000000;-44.5000000000
-0.1274000000;-0.3626000000;9.5256000000;4.0425000000;0.0000000000;-0.7350000000;-2.5000000000;-8.5625000000;-43.0000000000
-0.1764000000;-0.3528000000;9.6432000000;-0.1225000000;-0.1225000000;0.9800000000;-2.5000000000;-8.5625000000;-43.0000000000
-0.1078000000;-0.1176000000;9.4766000000;0.3062500000;-0.9187500000;-0.0612500000;-2.0625000000;-9.6875000000;-43.3750000000
-0.1372000000;-0.3528000000;9.6726000000;-1.2862500000;0.5512500000;-0.4287500000;-3.2500000000;-9.3750000000;-41.6875000000
-0.0784000000;-0.0980000000;9.4276000000;0.9800000000;-0.1225000000;0.6737500000;-2.0625000000;-9.0000000000;-43.6875000000
-0.1372000000;-0.2450000000;9.5452000000;-0.1837500000;0.7962500000;-0.2450000000;-2.5000000000;-9.0000000000;-43.0000000000
-0.1372000000;-0.2058000000;9.5354000000;0.4287500000;-0.4900000000;0.2450000000;-2.5000000000;-9.0000000000;-43.0000000000
-0.0980000000;-0.2842000000;9.6824000000;0.3062500000;-0.7962500000;0.0612500000;-2.5000000000;-9.0000000000;-44.5625000000
-0.0980000000;-0.3332000000;9.5354000000;-0.6125000000;-0.3062500000;0.0000000000;-2.0625000000;-9.0000000000;-43.0000000000
-0.1372000000;-0.2744000000;9.6530000000;0.3675000000;0.3675000000;0.3062500000;-2.5000000000;-9.6875000000;-43.2500000000
-0.0882000000;-0.2744000000;9.5158000000;-0.7350000000;-0.6125000000;0.0612500000;-2.5000000000;-8.5625000000;-43.2500000000
-0.0882000000;-0.2842000000;9.5942000000;1.1637500000;0.5512500000;0.4900000000;-2.5000000000;-8.5625000000;-43.2500000000
-0.1078000000;-0.2744000000;9.5452000000;0.3062500000;-0.0612500000;1.1637500000;-1.7500000000;-9.3750000000;-43.6875000000
-0.0882000000;-0.0588000000;9.5452000000;1.4087500000;-0.0612500000;-0.6125000000;-2.5000000000;-9.6875000000;-43.0000000000
-0.2058000000;-0.2156000000;9.4766000000;0.3062500000;0.6737500000;-1.2250000000;-2.0625000000;-9.6875000000;-42.1875000000
-0.0784000000;-0.1764000000;9.3884000000;2.8175000000;-0.9800000000;0.3675000000;-2.5000000000;-9.3750000000;-42.8750000000
-0.1372000000;-0.1274000000;9.6138000000;1.5925000000;0.7962500000;-0.1225000000;-2.5000000000;-9.3750000000;-42.8750000000
-0.0882000000;-0.3234000000;9.5648000000;-0.1837500000;-0.1837500000;-0.0612500000;-3.2500000000;-9.3750000000;-44.1875000000
-0.0392000000;-0.1960000000;9.4276000000;-0.2450000000;-0.9187500000;1.0412500000;-3.2500000000;-9.6875000000;-43.2500000000
-0.1862000000;-0.0980000000;9.6236000000;1.4700000000;1.5925000000;0.0612500000;-2.0625000000;-9.3750000000;-43.2500000000
-0.0490000000;-0.2254000000;9.6334000000;0.4287500000;-0.4900000000;-0.0612500000;-2.0625000000;-9.6875000000;-42.5000000000
-0.0882000000;-0.1470000000;9.5060000000;3.6137500000;-0.7350000000;0.0000000000;-2.0625000000;-9.6875000000;-42.5000000000
-0.1666000000;-0.0686000000;9.9078000000;15.1287500000;-0.0612500000;-0.6737500000;-1.7500000000;-9.3750000000;-43.7500000000
-0.6370000000;0.8918000000;10.3978000000;18.4975000000;-8.8200000000;-0.5512500000;-2.0625000000;-9.6875000000;-42.5000000000
0.0294000000;0.1764000000;10.5840000000;-6.0637500000;-36.5050000000;-5.5737500000;-2.5000000000;-10.3750000000;-43.6875000000
0.6076000000;-0.0490000000;10.7996000000;0.3675000000;-39.1387500000;-4.7162500000;-3.5625000000;-10.7500000000;-42.8750000000
0.0686000000;0.0980000000;10.8486000000;-1.3475000000;-48.8775000000;-2.8175000000;-3.5625000000;-10.7500000000;-42.8750000000
1.1858000000;-0.3430000000;10.5350000000;-24.6837500000;-94.0800000000;-4.5325000000;-5.0625000000;-10.7500000000;-42.5000000000
2.0090000000;-0.2352000000;10.1920000000;-13.8425000000;-86.1175000000;-4.5325000000;-7.2500000000;-10.0625000000;-42.1875000000
2.2442000000;-0.5096000000;10.1920000000;-24.6837500000;-76.9912500000;-1.5312500000;-10.2500000000;-9.6875000000;-40.5000000000
2.3814000000;-0.4998000000;10.3880000000;-19.1100000000;-69.3962500000;-0.3675000000;-13.3750000000;-9.3750000000;-40.1875000000
2.6656000000;-0.5292000000;10.1528000000;-7.9012500000;-73.6837500000;0.9800000000;-13.3750000000;-9.3750000000;-40.1875000000
3.2536000000;-0.5292000000;10.3488000000;-4.6550000000;-77.7262500000;-0.8575000000;-16.2500000000;-8.2500000000;-39.2500000000
3.5182000000;-0.2646000000;10.0744000000;-18.3750000000;-94.0187500000;0.7350000000;-18.5000000000;-7.8750000000;-37.6875000000
3.7142000000;-0.7742000000;9.1630000000;-23.2137500000;-108.6575000000;-7.4725000000;-20.5000000000;-7.0625000000;-35.7500000000
4.3414000000;-0.5096000000;7.5166000000;0.2450000000;-119.0087500000;-5.5737500000;-24.1875000000;-6.7500000000;-34.1875000000
4.6354000000;-1.0584000000;6.6346000000;-28.4812500000;-126.4200000000;-6.1250000000;-24.1875000000;-6.7500000000;-34.1875000000
5.7918000000;-1.6464000000;6.4288000000;-2.3275000000;-126.4200000000;0.6125000000;-28.2500000000;-6.3750000000;-31.7500000000
6.4386000000;-0.8722000000;5.3410000000;4.4100000000;-131.0137500000;2.7562500000;-31.2500000000;-6.0000000000;-28.2500000000
7.1834000000;-0.8330000000;4.9784000000;-2.2662500000;-123.0512500000;2.9400000000;-34.6875000000;-6.7500000000;-25.5000000000
7.8302000000;-0.7840000000;4.3414000000;1.5312500000;-97.6325000000;7.1050000000;-38.3750000000;-6.3750000000;-20.7500000000
7.4970000000;-0.6664000000;3.6848000000;7.4112500000;-86.4237500000;4.7775000000;-38.3750000000;-6.3750000000;-20.7500000000
8.3006000000;-0.6076000000;3.1752000000;5.0837500000;-65.5987500000;5.0837500000;-39.1875000000;-5.2500000000;-17.6875000000
8.6044000000;-0.8624000000;2.9400000000;8.8200000000;-47.4687500000;10.1675000000;-41.3750000000;-6.0000000000;-16.5000000000
8.3496000000;-0.5488000000;2.3716000000;4.4100000000;-47.6525000000;9.1875000000;-42.0000000000;-7.0625000000;-12.8750000000
8.8494000000;-0.6370000000;2.6656000000;-4.1037500000;-35.0350000000;4.6550000000;-42.0000000000;-7.0625000000;-12.8750000000
8.7122000000;-0.4410000000;2.0580000000;0.6737500000;-29.8900000000;2.1437500000;-41.5625000000;-6.3750000000;-12.5625000000
9.0552000000;-0.2156000000;2.0678000000;-0.2450000000;-29.7062500000;2.1437500000;-42.3750000000;-7.5000000000;-11.5000000000
9.0650000000;-0.6370000000;2.5578000000;-5.8187500000;-16.1700000000;5.2675000000;-43.3750000000;-6.7500000000;-11.0000000000
9.1042000000;-0.3332000000;2.5480000000;4.6550000000;-17.5175000000;3.8587500000;-43.2500000000;-8.2500000000;-10.1875000000
9.1728000000;-0.3626000000;2.1952000000;-1.4087500000;-25.8475000000;3.1237500000;-43.2500000000;-8.2500000000;-10.1875000000
9.8000000000;-0.8526000000;2.4304000000;-8.1462500000;-16.9662500000;-0.4287500000;-43.2500000000;-8.2500000000;-9.5000000000
9.0454000000;-0.7056000000;2.8812000000;13.1075000000;-12.8012500000;7.6562500000;-43.2500000000;-7.5000000000;-9.0625000000
9.2022000000;-0.1078000000;1.3328000000;-2.5112500000;-32.7075000000;-8.3300000000;-43.1875000000;-7.5000000000;-8.2500000000
9.6824000000;-0.8428000000;1.3818000000;-7.9625000000;-13.9650000000;-3.4912500000;-43.5625000000;-7.8750000000;-7.5000000000
9.1728000000;-0.7350000000;1.4700000000;-3.1850000000;-0.0612500000;4.9612500000;-43.5625000000;-7.8750000000;-7.5000000000
9.3296000000;-0.4508000000;1.8816000000;1.9600000000;0.8575000000;3.2462500000;-43.5625000000;-8.2500000000;-7.5000000000
9.5060000000;-0.3920000000;2.0482000000;-2.0825000000;0.9187500000;1.5925000000;-44.0000000000;-8.2500000000;-6.6875000000
9.4472000000;-0.5586000000;2.0776000000;-3.7975000000;0.3062500000;1.6537500000;-43.1875000000;-7.0625000000;-6.2500000000
9.3394000000;-0.4214000000;1.9208000000;3.9200000000;-0.4900000000;-0.3062500000;-43.1875000000;-7.8750000000;-6.2500000000
9.4178000000;-0.4606000000;1.8228000000;-1.8987500000;-4.5325000000;-0.3675000000;-43.1875000000;-7.8750000000;-6.2500000000
9.4668000000;-0.7840000000;1.8326000000;-1.7762500000;-1.1637500000;-0.0612500000;-44.0000000000;-7.0625000000;-7.0625000000
9.3394000000;-0.4214000000;2.0580000000;3.6750000000;4.9000000000;1.8987500000;-43.5625000000;-7.8750000000;-6.2500000000
9.1924000000;-0.5684000000;2.0188000000;-0.6125000000;0.3062500000;-0.1225000000;-44.0000000000;-7.8750000000;-5.8750000000
9.5256000000;-0.5194000000;1.9502000000;-1.1025000000;-0.1837500000;0.3675000000;-43.5625000000;-7.5000000000;-6.6875000000
9.6530000000;-0.3724000000;2.2050000000;1.4087500000;0.9800000000;-0.3062500000;-43.5625000000;-7.5000000000;-6.6875000000
9.4080000000;-0.3528000000;1.8718000000;1.2862500000;-8.1462500000;-4.2262500000;-43.1875000000;-8.2500000000;-7.0625000000
9.5354000000;-0.5978000000;1.5974000000;-1.8987500000;-3.6137500000;-2.9400000000;-44.2500000000;-7.8750000000;-5.5000000000
9.3982000000;-0.4704000000;1.6464000000;6.0025000000;1.8375000000;0.1837500000;-43.5625000000;-7.0625000000;-6.2500000000
9.5060000000;-0.6076000000;2.0776000000;0.7350000000;4.5325000000;0.7350000000;-44.2500000000;-7.5000000000;-7.5000000000
9.3590000000;-0.6272000000;2.3912000000;-0.4287500000;5.5737500000;1.8375000000;-44.2500000000;-7.5000000000;-7.5000000000
9.3590000000;-0.3626000000;1.9698000000;2.1437500000;-3.6750000000;3.0625000000;-44.2500000000;-7.0625000000;-6.0000000000
9.3394000000;-0.5488000000;1.6660000000;-3.1850000000;-4.6550000000;-0.3675000000;-44.2500000000;-9.3750000000;-6.6875000000
9.2512000000;-0.4410000000;1.8620000000;3.5525000000;1.8375000000;0.7350000000;-44.5625000000;-7.8750000000;-6.6875000000
