acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
-9.3884000000;-0.5782000000;1.9894000000;-4.9612500000;1.2250000000;1.6537500000;31.8750000000;-10.0000000000;-15.0625000000
-9.4962000000;-0.9604000000;1.6660000000;1.9600000000;1.0412500000;1.1637500000;31.8750000000;-10.6875000000;-14.6875000000
-9.8294000000;-0.5684000000;1.7738000000;-1.8987500000;-0.1225000000;-0.8575000000;31.5625000000;-10.2500000000;-13.8750000000
-9.2806000000;-0.7350000000;2.1462000000;6.4925000000;-0.4900000000;-10.8412500000;31.8750000000;-10.0000000000;-14.6875000000
-9.2904000000;-0.0980000000;2.1364000000;1.0412500000;3.3075000000;-3.9812500000;31.5625000000;-10.2500000000;-15.0625000000
-9.3394000000;-0.0588000000;1.9992000000;4.2262500000;3.0625000000;1.2862500000;31.5625000000;-10.2500000000;-15.0625000000
-9.2904000000;-0.0588000000;1.8326000000;-2.5725000000;2.0825000000;4.9000000000;31.1875000000;-10.0000000000;-14.6875000000
-9.4570000000;-0.6664000000;1.9012000000;-13.7812500000;6.5537500000;2.1437500000;31.8750000000;-10.0000000000;-15.0625000000
-9.4276000000;-0.5292000000;2.1364000000;4.5937500000;5.8800000000;6.6762500000;33.0625000000;-10.0000000000;-14.2500000000
-9.6138000000;-0.4410000000;2.0678000000;-1.4087500000;4.3487500000;7.7787500000;31.1875000000;-10.0000000000;-14.2500000000
-9.4178000000;-0.5880000000;1.7738000000;-3.1237500000;0.4287500000;5.6350000000;31.1875000000;-10.0000000000;-14.2500000000
-9.2904000000;-1.0388000000;1.8522000000;-2.6337500000;1.8375000000;0.9187500000;30.8750000000;-10.0000000000;-15.0000000000
-9.7412000000;-0.6958000000;1.5974000000;-4.2262500000;12.7400000000;-1.1637500000;31.8750000000;-10.6875000000;-14.2500000000
-9.4178000000;-0.5194000000;1.7248000000;-1.2862500000;5.0225000000;-3.1850000000;31.1875000000;-11.0625000000;-13.0625000000
-9.6138000000;0.1176000000;1.7738000000;-6.0637500000;7.8400000000;5.2675000000;32.2500000000;-10.6875000000;-13.5000000000
-9.4276000000;0.2744000000;1.5092000000;-31.0537500000;9.9837500000;14.9450000000;32.2500000000;-10.6875000000;-13.5000000000
-9.5354000000;-0.7056000000;1.2544000000;-39.5062500000;10.7800000000;7.5337500000;31.8750000000;-10.6875000000;-14.6875000000
-8.8494000000;-0.5880000000;1.9992000000;-5.9412500000;9.4937500000;-7.5950000000;31.8750000000;-10.6875000000;-14.6875000000
-9.5844000000;0.6664000000;2.0482000000;0.2450000000;27.0725000000;0.5512500000;31.8750000000;-10.0000000000;-14.6875000000
-9.8098000000;-0.3724000000;1.5974000000;-29.6450000000;20.4575000000;-5.2062500000;32.6875000000;-9.5625000000;-13.0625000000
-9.0356000000;-0.4312000000;1.7934000000;-17.7625000000;3.3687500000;3.3075000000;32.6875000000;-9.5625000000;-13.0625000000
-9.8098000000;-0.1078000000;1.5386000000;-13.9037500000;10.7800000000;7.5950000000;33.0625000000;-10.2500000000;-11.5000000000
-10.2116000000;-1.2740000000;1.1172000000;-26.9500000000;-4.7162500000;3.4300000000;32.2500000000;-10.0000000000;-13.0625000000
-9.6334000000;-0.6860000000;1.1172000000;4.9000000000;-20.4575000000;7.0437500000;33.3750000000;-10.0000000000;-11.8750000000
-9.8392000000;-1.3622000000;1.2642000000;-3.4912500000;-18.2525000000;-4.7775000000;31.8750000000;-9.1875000000;-13.0625000000
-10.0548000000;-1.4406000000;0.8330000000;33.6262500000;-25.1737500000;-14.0875000000;31.8750000000;-9.1875000000;-13.0625000000
-9.4766000000;0.0294000000;1.3328000000;52.7362500000;-27.8075000000;-14.9450000000;31.8750000000;-10.0000000000;-13.5000000000
-9.2904000000;-0.5390000000;1.4308000000;28.1137500000;-15.9862500000;-24.8062500000;32.2500000000;-9.5625000000;-14.2500000000
-9.0748000000;-0.5096000000;1.8424000000;15.4962500000;-6.3700000000;-19.1712500000;31.5625000000;-9.5625000000;-13.8750000000
-9.7216000000;-0.3528000000;1.7150000000;3.3687500000;5.7575000000;-14.0875000000;32.2500000000;-10.0000000000;-15.5000000000
-9.4668000000;-0.5684000000;1.7248000000;10.1675000000;-6.4312500000;-9.9225000000;32.2500000000;-10.0000000000;-15.5000000000
-9.2218000000;-0.3822000000;1.6660000000;4.2262500000;0.4900000000;-3.3075000000;32.6875000000;-8.7500000000;-13.5000000000
-9.8000000000;-0.3822000000;1.2054000000;-7.5950000000;3.5525000000;0.3062500000;32.2500000000;-8.5000000000;-13.5000000000
-9.6138000000;-0.5978000000;1.0780000000;-14.1487500000;-0.1837500000;5.8187500000;31.1875000000;-8.1875000000;-13.8750000000
-9.6138000000;-0.8526000000;0.9604000000;-6.6762500000;8.0850000000;5.7575000000;32.2500000000;-8.5000000000;-14.2500000000
-9.8882000000;-0.3724000000;0.6762000000;-12.2500000000;12.9237500000;2.3887500000;32.2500000000;-8.5000000000;-14.2500000000
-9.7314000000;-0.5292000000;0.5782000000;-18.2525000000;22.2950000000;6.6762500000;32.2500000000;-8.7500000000;-13.0625000000
-9.2904000000;-0.8330000000;0.7742000000;-3.9200000000;41.7725000000;7.9012500000;32.6875000000;-8.1875000000;-13.8750000000
-9.8294000000;-0.3332000000;0.9408000000;0.4900000000;53.4712500000;6.1862500000;32.6875000000;-9.1875000000;-13.3750000000
-9.9960000000;-0.4606000000;0.5782000000;1.0412500000;49.3062500000;12.9850000000;32.6875000000;-8.5000000000;-13.5000000000
-10.7996000000;-0.1568000000;-0.6860000000;-21.9887500000;44.7737500000;12.6787500000;32.6875000000;-8.5000000000;-13.5000000000
-9.8588000000;-0.7644000000;-0.9800000000;-5.0837500000;46.4275000000;14.3937500000;33.7500000000;-10.0000000000;-11.5000000000
-9.9764000000;-0.1862000000;-0.6566000000;1.4087500000;67.9262500000;13.0462500000;34.1875000000;-9.5625000000;-9.0625000000
-10.6820000000;0.0980000000;-1.3622000000;-7.2275000000;71.0500000000;15.0062500000;33.7500000000;-10.2500000000;-7.5000000000
-10.6428000000;-0.3038000000;-1.6856000000;-9.0037500000;67.6200000000;20.7025000000;34.1875000000;-10.6875000000;-6.0000000000
-10.2900000000;0.4018000000;-2.8714000000;0.1225000000;67.4975000000;23.8262500000;34.1875000000;-10.6875000000;-6.0000000000
-9.6628000000;0.1666000000;-2.0580000000;-13.9037500000;95.1212500000;29.4000000000;33.3750000000;-11.5000000000;-4.3750000000
-11.0152000000;0.0980000000;-4.3022000000;16.4762500000;103.9412500000;24.2550000000;34.1875000000;-12.5000000000;-2.7500000000
-9.7020000000;1.4210000000;-3.6750000000;13.2300000000;105.9012500000;44.4675000000;33.3750000000;-14.0000000000;0.7500000000
-10.8584000000;0.2646000000;-5.7232000000;-18.0687500000;128.5025000000;36.2600000000;33.3750000000;-14.0000000000;0.7500000000
-8.8004000000;1.5190000000;-4.8216000000;40.4250000000;117.2937500000;45.3250000000;33.7500000000;-14.0000000000;3.8750000000
-7.6244000000;1.6366000000;-6.8992000000;16.7212500000;149.3275000000;29.8287500000;31.0625000000;-15.5000000000;7.5000000000
-6.0172000000;1.5386000000;-4.3120000000;40.1800000000;130.6462500000;59.1675000000;29.0000000000;-16.2500000000;11.8750000000
-8.2614000000;-0.0980000000;-6.5170000000;-36.4437500000;161.7000000000;49.0000000000;27.2500000000;-17.0000000000;15.0625000000
-4.7334000000;2.5872000000;-3.6456000000;18.5587500000;108.5962500000;55.7987500000;27.2500000000;-17.0000000000;15.0625000000
-5.3704000000;3.5868000000;-5.6840000000;-56.4725000000;133.7700000000;53.1650000000;24.6875000000;-18.5000000000;19.0625000000
-6.4288000000;3.4790000000;-5.4488000000;-119.1925000000;99.8987500000;74.5412500000;22.0625000000;-19.5625000000;21.7500000000
-3.8808000000;1.8816000000;-6.8110000000;-82.0750000000;32.1562500000;57.5137500000;18.0625000000;-23.2500000000;21.5000000000
-3.9592000000;4.5570000000;-7.4774000000;-35.8312500000;32.4012500000;35.4637500000;15.5000000000;-26.0000000000;21.0000000000
-3.5770000000;4.5178000000;-8.3300000000;-78.3387500000;26.8887500000;40.4250000000;15.5000000000;-26.0000000000;21.0000000000
-2.5872000000;1.5386000000;-8.1830000000;4.2262500000;27.5625000000;35.5862500000;14.0625000000;-27.0625000000;20.3750000000
-2.7832000000;3.5280000000;-7.3402000000;92.3650000000;46.7950000000;13.1687500000;13.2500000000;-28.5625000000;18.6875000000
-2.5382000000;2.2932000000;-6.5366000000;23.6425000000;31.6050000000;-0.1225000000;11.0625000000;-29.0000000000;20.2500000000
-2.6068000000;0.2940000000;-8.0654000000;68.7837500000;3.0012500000;-29.4000000000;11.5000000000;-27.5000000000;22.2500000000
-2.7244000000;3.7240000000;-8.7416000000;31.4212500000;-13.5362500000;-33.6262500000;11.5000000000;-27.5000000000;22.2500000000
-2.2148000000;2.3226000000;-9.9078000000;29.0937500000;-16.7212500000;-42.5075000000;10.5000000000;-27.0625000000;24.1875000000
-2.4304000000;2.9988000000;-9.8588000000;21.5600000000;4.5325000000;-36.5050000000;11.8750000000;-26.0000000000;23.5000000000
-3.0674000000;2.4500000000;-9.9176000000;64.9250000000;9.7387500000;-15.9862500000;13.0000000000;-24.5000000000;24.6875000000
-2.0972000000;1.4308000000;-8.6730000000;68.9675000000;15.9250000000;-24.0100000000;12.6875000000;-23.0000000000;26.2500000000
-2.7734000000;2.7048000000;-8.5358000000;79.8700000000;28.6650000000;-12.9850000000;12.6875000000;-23.0000000000;26.2500000000
-2.5284000000;0.2156000000;-9.0356000000;47.4075000000;10.4125000000;-27.7462500000;13.7500000000;-21.0625000000;26.5625000000
-1.7346000000;3.1948000000;-8.1242000000;80.4212500000;27.8687500000;-7.2887500000;12.6875000000;-19.0000000000;29.3750000000
-2.8910000000;1.7346000000;-9.4080000000;19.5387500000;29.5837500000;-20.1512500000;11.8750000000;-17.0625000000;30.1875000000
-2.3422000000;1.9502000000;-9.0846000000;1.2862500000;16.4150000000;-7.0437500000;11.8750000000;-16.6875000000;31.3750000000
