acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
-9.4296927201;0.1192653022;-1.8628853781;-0.8041717187;1.8692532637;14.6958352772;39.5625000000;1.5000000000;-7.5000000000
-9.4443453901;0.2139303266;-1.9277328466;-1.8076211718;-2.6118169541;6.8537130766;38.8750000000;1.1875000000;-7.7500000000
-9.5535387159;0.1965023532;-1.7374458961;4.3154880446;0.1259827490;0.0000000000;38.8750000000;1.8750000000;-8.2500000000
-9.6422360191;0.2168150783;-1.8941220503;0.5595949390;-1.2294116718;2.4160465418;39.2500000000;1.5000000000;-8.5625000000
-9.5873873093;0.1803143961;-1.9215017686;-1.0762421740;4.4148887813;-10.4690041496;39.2500000000;1.5000000000;-8.5625000000
-9.6239648929;0.2179968465;-1.8243156187;6.0843490610;1.7300731339;-12.8835551609;38.5000000000;1.1875000000;-7.8750000000
-9.6571572158;0.0799492156;-1.7604824016;-2.0767902047;-0.4910131564;5.3440853636;39.5625000000;1.1875000000;-7.8750000000
-9.6661619289;0.0982082712;-1.8579670694;-0.3138856019;6.9769395088;9.8780933812;39.5625000000;1.1875000000;-9.0625000000
-9.4381820379;0.0405294983;-1.7770563531;15.3055408490;6.4860585708;-6.6244575920;38.5000000000;1.5000000000;-9.3750000000
-9.5613094319;-0.0203922355;-1.9028227251;10.1705831229;4.9187964801;-3.2910451965;38.5000000000;1.5000000000;-9.3750000000
-9.9102329903;0.2668927586;-1.8376456860;17.5534634907;-4.0076047113;18.9202921578;39.5625000000;1.1875000000;-8.2500000000
-9.8221815365;0.1993971461;-2.5573340209;32.2135706388;2.0285114457;19.3785173799;39.2500000000;0.7500000000;-7.3750000000
-9.2564788283;0.9576339030;-3.1012761075;5.3093261474;14.9897679766;7.1700464410;39.5625000000;1.0625000000;-8.2500000000
-9.8711212117;0.8626269233;-4.5555245293;10.9729083820;15.2796589007;29.5504071668;39.5625000000;0.5000000000;-8.2500000000
-9.5300817863;0.9133504317;-5.5099655998;5.4449635629;31.6718624889;31.6967509998;39.5625000000;0.5000000000;-8.2500000000
-9.8752886129;0.9718019840;-5.8954540391;-4.3530763851;49.3210157906;25.1811341216;40.0000000000;-0.6875000000;-7.5000000000
-10.1079809414;0.2859604893;-5.7143827487;15.5144198826;58.9585203915;15.6051027665;41.7500000000;-0.2500000000;-6.6875000000
-10.5115014009;0.2522273403;-4.9374577389;23.9888751346;68.1199314548;2.4601880426;41.5000000000;-1.0000000000;-5.0625000000
-10.2081994066;0.4545124828;-4.5163094414;23.9252872208;70.2954847436;6.9372099134;42.5625000000;-2.5000000000;-2.7500000000
-10.2819751916;0.4036922429;-4.1488434562;17.7861654706;74.8048195454;-27.4001253266;42.5625000000;-2.5000000000;-2.7500000000
-9.9521624498;0.7524917244;-4.0867713508;0.4396323411;70.9412569203;-12.9970612693;43.1875000000;-3.0625000000;0.7500000000
-9.6717047193;1.1943791902;-5.8154613100;-62.7541446255;66.7336352345;9.0488565611;43.5625000000;-1.6875000000;2.2500000000
-9.6529038005;-0.3842090196;-5.5483133086;-9.1118834110;98.1866358531;20.3937717193;42.8750000000;-2.0625000000;5.2500000000
-9.8610884095;0.1578288102;-5.5013786398;21.0780744112;74.6466970017;-17.3182941681;42.8750000000;-2.0625000000;5.2500000000
-8.4463622954;0.8435219495;-6.0171724638;25.6284736782;73.1084594585;-9.8975928586;42.5000000000;-2.7500000000;7.7500000000
-8.1174290824;1.2318924985;-6.4946077748;24.7567619759;75.5971047985;-13.0441285389;40.5625000000;-2.2500000000;10.0000000000
-7.5581713417;0.4354873203;-6.4448232907;40.0517562919;85.9094826923;-14.0119158880;39.5000000000;-2.0000000000;12.6875000000
-7.1371581707;0.7947034384;-6.4011700041;27.8196083093;85.7911795611;5.8815233997;38.3750000000;-0.5000000000;14.7500000000
-6.9639321218;0.3545214467;-6.1494881599;26.7283257498;75.8968300556;-3.3311382187;38.3750000000;-0.5000000000;14.7500000000
-5.9554398874;0.7045138839;-5.9946633068;3.7319120705;63.4572438041;-1.5077665056;35.6875000000;-0.0625000000;17.1875000000
-5.1835589313;0.1805892468;-6.7156234182;-4.2502585755;79.9196105590;5.0308974728;33.8750000000;0.2500000000;19.2500000000
-5.6920008266;0.0687547009;-6.4858817138;9.5273739794;54.9197359698;10.7886941746;32.6875000000;1.0000000000;21.8750000000
-5.1555492621;0.8942680985;-7.5449834924;-19.0915242326;40.9937455381;20.9545269256;31.5000000000;-0.5000000000;23.1875000000
-4.2445448715;-0.3281218113;-7.9634778117;18.3967177116;34.6166239493;16.2337127900;31.5000000000;-0.5000000000;23.1875000000
-4.2316988235;1.0092906808;-7.8437673629;-6.1582656835;37.2148741688;17.9388246144;30.5000000000;-0.3750000000;26.0000000000
-4.2156814202;-0.6014061204;-7.9569854629;-11.6903643354;47.5821837070;-2.1617313890;29.0000000000;-0.0625000000;24.5000000000
-3.8272043579;0.6630884369;-8.2452045791;4.1159471676;44.8902652148;9.3928559040;28.0625000000;-0.7500000000;26.5625000000
-3.1167942159;0.7406218856;-7.9584655407;-11.2675809306;54.3403798904;14.8873561764;26.5625000000;-0.7500000000;27.7500000000
-3.5040025996;0.8770307595;-8.6490873539;-11.0919332473;48.1358646496;16.1824884602;26.5625000000;-0.7500000000;27.7500000000
