acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
-9.2451865785;-0.3567520129;2.7305687549;9.4459432785;5.5516004033;-2.1577252545;30.8750000000;5.5000000000;-24.1875000000
-9.2365719795;-0.0402061850;2.8279765575;18.9616507053;11.6689673560;-5.8244395760;30.8750000000;5.5000000000;-24.1875000000
-9.2316425757;-0.0908625593;2.9494840820;13.3676754858;11.9873685978;-4.9227474655;30.7500000000;5.0625000000;-22.1875000000
-9.2834914352;-0.0101648821;2.6587532391;13.4662345152;4.6378938228;0.0619089422;31.2500000000;4.6875000000;-23.0625000000
-9.1350252343;-0.5807523684;2.4187761471;13.6271142800;6.4572494786;-1.8856792991;31.6875000000;4.3750000000;-22.5625000000
-10.0450817212;-0.1774817220;2.4388925801;18.9784624113;9.9562895431;-4.0717204567;31.2500000000;4.3750000000;-23.0625000000
-9.5420008593;-0.1518547233;2.2966382290;15.6755220859;0.5523146510;-1.5916653992;31.2500000000;4.3750000000;-23.0625000000
-9.2995847917;-0.2944634544;2.0899399731;8.2122488590;1.5930090613;0.1854325794;32.0000000000;4.3750000000;-21.5000000000
-9.5527730500;-0.4461336274;2.3392121485;8.5008392398;3.9800517255;2.5677817269;32.0625000000;4.6875000000;-22.1875000000
-9.3519968915;-0.3441114665;2.2875062162;10.7935712652;-1.5118893649;-2.9201354911;32.0625000000;4.2500000000;-23.0625000000
-9.1645844206;-0.2023780093;2.1980125435;3.5568638101;1.6766839274;-3.3981147992;32.0625000000;4.2500000000;-23.0625000000
-9.2330116491;-0.0203369167;2.2471732672;2.5712019320;3.4526583785;2.7097134850;31.6875000000;4.3750000000;-22.0625000000
-9.5246093491;-0.1121873922;2.2774080548;4.8204024547;7.2441568766;3.3385773959;31.2500000000;4.6875000000;-22.0625000000
-9.4102313273;-0.1731120689;2.0873887424;3.5964098844;3.3877157216;0.1870946100;31.2500000000;3.6875000000;-21.7500000000
-9.2846232719;-0.2121356005;1.7997905848;6.9230209753;4.0965460242;1.0148345588;31.6875000000;4.0000000000;-21.0000000000
-9.7577423403;-0.2376041399;1.6196354573;7.4324464117;9.3778878509;2.0038198059;31.6875000000;4.0000000000;-21.0000000000
-9.7671782449;-0.2012093280;1.3445816125;15.3179896699;1.2427583026;-4.4060424155;32.0625000000;4.0000000000;-21.7500000000
-9.4996807493;-0.4249445975;1.4266596952;11.7089206726;7.0685989715;-2.6150224966;32.0625000000;4.3750000000;-21.2500000000
-10.1953812278;-0.4352002560;1.6931607357;12.9535746355;13.9033170787;-3.6564410324;32.7500000000;3.2500000000;-21.0000000000
-10.0046872663;-0.2830816628;1.5331569140;15.1053715537;3.8816122251;-8.3284240412;32.3750000000;3.6875000000;-21.0000000000
-9.3096305893;-0.1589122454;1.6520822148;15.9803191862;12.9543160089;-6.9855942571;32.3750000000;3.6875000000;-21.0000000000
-10.4341923285;-0.2417325395;0.8999241184;9.3006103907;19.3487021881;-3.6605195265;33.5625000000;2.5000000000;-22.0625000000
-10.4623834001;-0.7745325711;0.2835576837;13.5221945044;23.8741280152;-5.4685628347;35.3750000000;2.8750000000;-19.3750000000
-10.5049557043;-0.8741798948;-0.0099557491;21.8649453394;29.4986409058;-7.1843737828;35.6875000000;2.8750000000;-20.1875000000
-10.3560304086;-1.2934157581;-0.3925472403;12.1264390308;40.2961921693;-10.5249625925;36.5000000000;1.7500000000;-19.0625000000
-11.0832498762;-1.2096412543;-0.3152953264;18.4377880040;53.8392207034;-19.1401010777;36.5000000000;1.7500000000;-19.0625000000
-10.4963730546;-1.0118028065;-0.3435537244;14.1842213058;55.5122775082;-25.2549489930;37.5625000000;1.0000000000;-17.5000000000
-10.5994237531;-0.7626289453;-1.1587241725;-0.4439791812;72.3256612974;-18.3635930084;39.0625000000;0.8750000000;-16.2500000000
-10.2728569294;-1.5784496572;-1.2267372860;-7.8811643075;92.1322296401;-15.8177036545;39.7500000000;1.6875000000;-13.6875000000
-10.4029527407;-0.9538310341;-1.5082495353;14.3063327739;100.0338370056;-16.6710213038;41.2500000000;2.7500000000;-10.5000000000
-9.5930331516;-1.4116613319;-1.9439503721;5.5681857020;93.2943236745;-16.6841806263;41.2500000000;2.7500000000;-10.5000000000
-10.4413029483;-0.9930187679;-2.6931003821;4.3257464252;103.2708607455;-10.5167261087;42.1875000000;2.0000000000;-7.0625000000
-9.7230176774;-1.3811963370;-3.0868943832;-4.1068451933;96.5653011482;-6.6726322230;41.7500000000;3.5000000000;-4.2500000000
-9.9645648910;-0.9732042080;-3.6955982609;-13.0736095119;93.6908407166;-7.8800186922;42.1875000000;3.0625000000;0.5000000000
