time index;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z;quat_w;quat_x;quat_y;quat_z
1;-9.6500000000;1.2700000000;0.6700000000;-0.5000000000;-2.0625000000;-0.6875000000;37.0000000000;-23.1875000000;-16.6875000000;0.6795040000;0.1789550000;-0.6500850000;0.2891850000
2;-9.6100000000;1.3600000000;0.7600000000;-2.8125000000;0.7500000000;-0.6250000000;37.5625000000;-22.7500000000;-17.0625000000;0.6793210000;0.1795650000;-0.6499630000;0.2895510000
3;-9.5900000000;1.4500000000;0.7800000000;0.2500000000;0.7500000000;-0.1875000000;37.5625000000;-22.7500000000;-17.0625000000;0.6789550000;0.1798710000;-0.6502080000;0.2896730000
4;-9.6200000000;1.2200000000;0.8400000000;-1.8125000000;1.3125000000;0.8750000000;36.5625000000;-21.2500000000;-17.3750000000;0.6784670000;0.1802370000;-0.6503300000;0.2902220000
5;-9.6200000000;1.1900000000;1.0100000000;-0.9375000000;1.1875000000;-0.0625000000;37.0000000000;-22.0625000000;-17.5000000000;0.6779790000;0.1807250000;-0.6505740000;0.2905880000
6;-9.6000000000;1.3700000000;0.8600000000;1.5000000000;-1.2500000000;-0.6250000000;37.2500000000;-22.7500000000;-17.3750000000;0.6783450000;0.1802980000;-0.6505740000;0.2899780000
7;-9.5900000000;1.2100000000;0.8200000000;-2.4375000000;-0.7500000000;0.2500000000;37.2500000000;-21.6875000000;-17.0625000000;0.6784670000;0.1806640000;-0.6501460000;0.2904050000
8;-9.6700000000;1.2500000000;0.7800000000;0.8750000000;-1.0000000000;-0.1875000000;37.2500000000;-21.6875000000;-17.0625000000;0.6786500000;0.1806640000;-0.6499020000;0.2905880000
9;-9.6300000000;1.2900000000;0.7800000000;0.1250000000;-0.0625000000;0.1875000000;37.2500000000;-23.1875000000;-16.6875000000;0.6790770000;0.1798100000;-0.6500240000;0.2897950000
10;-9.6100000000;1.1600000000;0.7600000000;-1.4375000000;0.3125000000;0.1250000000;37.2500000000;-22.7500000000;-17.3750000000;0.6789550000;0.1799320000;-0.6499630000;0.2900390000
11;-9.5800000000;1.1700000000;0.7300000000;1.4375000000;0.5625000000;-0.5000000000;38.0000000000;-20.8750000000;-16.6875000000;0.6790160000;0.1798100000;-0.6500240000;0.2899170000
12;-9.6700000000;1.2400000000;0.9700000000;-2.2500000000;-0.3125000000;-0.7500000000;36.1875000000;-21.2500000000;-17.3750000000;0.6787720000;0.1806640000;-0.6499020000;0.2903440000
13;-9.5800000000;1.3600000000;0.8100000000;2.8125000000;-1.3750000000;-1.1250000000;36.1875000000;-21.2500000000;-17.3750000000;0.6790770000;0.1807250000;-0.6496580000;0.2901000000
14;-9.6200000000;1.4600000000;0.7800000000;-0.3750000000;0.0625000000;0.4375000000;37.0000000000;-22.3750000000;-18.1875000000;0.6790770000;0.1804200000;-0.6497800000;0.2899780000
15;-9.5900000000;1.3300000000;0.8300000000;1.9375000000;-0.3125000000;0.4375000000;37.0000000000;-22.3750000000;-18.1875000000;0.6790770000;0.1801760000;-0.6499020000;0.2898560000
16;-9.6100000000;1.1700000000;0.8500000000;1.3750000000;-0.1250000000;0.8750000000;37.2500000000;-21.2500000000;-18.1875000000;0.6790770000;0.1796260000;-0.6500850000;0.2897340000
17;-9.6100000000;1.0700000000;0.8700000000;-1.4375000000;-0.2500000000;-0.1875000000;37.5625000000;-22.7500000000;-18.1875000000;0.6790770000;0.1796870000;-0.6500850000;0.2896730000
18;-9.6700000000;1.0900000000;0.8000000000;-0.8750000000;-1.0000000000;-1.9375000000;37.5625000000;-22.7500000000;-18.1875000000;0.6793820000;0.1805420000;-0.6496580000;0.2895510000
19;-9.6200000000;1.4400000000;0.7100000000;1.6875000000;0.1875000000;-1.1875000000;38.0000000000;-23.1875000000;-16.1875000000;0.6796870000;0.1805420000;-0.6496580000;0.2886960000
20;-9.6400000000;1.3800000000;0.8000000000;-1.4375000000;1.3750000000;1.0625000000;37.5625000000;-20.8750000000;-17.3750000000;0.6793820000;0.1807250000;-0.6498410000;0.2890010000
21;-9.6200000000;1.1800000000;0.8800000000;2.3125000000;1.0625000000;-0.5000000000;37.2500000000;-22.3750000000;-19.0625000000;0.6792600000;0.1805420000;-0.6501460000;0.2886350000
22;-9.5700000000;1.4400000000;0.9600000000;-0.3125000000;-0.3750000000;0.4375000000;36.5625000000;-21.6875000000;-18.1875000000;0.6793210000;0.1801760000;-0.6502080000;0.2885740000
23;-9.6500000000;1.0400000000;0.8200000000;-1.5625000000;-0.8750000000;-0.1250000000;36.5625000000;-21.6875000000;-18.1875000000;0.6792600000;0.1804810000;-0.6497800000;0.2895510000
24;-9.5700000000;1.3300000000;0.7700000000;1.9375000000;-0.3750000000;-0.9375000000;37.2500000000;-22.7500000000;-17.3750000000;0.6795650000;0.1802370000;-0.6498410000;0.2888790000
25;-9.6700000000;1.3000000000;0.8300000000;-2.0625000000;-0.0625000000;0.3125000000;37.2500000000;-22.0625000000;-18.1875000000;0.6794430000;0.1804200000;-0.6497800000;0.2891850000
