model_name,validation_accuracy,validation_precision_macro,validation_recall_macro,validation_f1_macro,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,combined_f1_macro,combined_accuracy
svm_rbf,0.9349593495934959,0.9405721510984669,0.9362041467304625,0.9360551917427978,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8857142857142858,0.9108847387285418,0.9119241192411924
logistic_regression,0.967479674796748,0.9781420765027322,0.9595959595959597,0.9671951886276654,0.8518518518518519,0.8974358974358975,0.8518518518518517,0.8441558441558442,0.9056755163917548,0.9096657633242999
random_forest,0.8373983739837398,0.8518518518518517,0.8660287081339714,0.8491704374057315,0.8425925925925926,0.8930817610062892,0.8425925925925926,0.8332992849846782,0.8412348611952049,0.8399954832881662
extra_trees,0.926829268292683,0.9285714285714285,0.9473684210526315,0.9314285714285714,0.7777777777777778,0.8666666666666667,0.7777777777777778,0.75,0.8407142857142857,0.8523035230352304
