acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
-9.2218000000;0.1176000000;-1.8228000000;-0.7962500000;1.8375000000;14.2100000000;39.5625000000;1.5000000000;-7.5000000000
-9.3198000000;0.2058000000;-1.8718000000;-1.7762500000;-2.5725000000;6.7375000000;38.8750000000;1.1875000000;-7.7500000000
-9.4864000000;0.1960000000;-1.7150000000;4.2262500000;0.1225000000;0.0000000000;38.8750000000;1.8750000000;-8.2500000000
-9.4374000000;0.2156000000;-1.8228000000;0.5512500000;-1.2250000000;2.3275000000;39.2500000000;1.5000000000;-8.5625000000
-9.2218000000;0.1764000000;-1.9012000000;-1.0412500000;4.2875000000;-10.2287500000;39.2500000000;1.5000000000;-8.5625000000
-9.4080000000;0.2156000000;-1.7640000000;6.0637500000;1.7150000000;-12.8012500000;38.5000000000;1.1875000000;-7.8750000000
-9.5158000000;0.0784000000;-1.7248000000;-2.0212500000;-0.4900000000;5.1450000000;39.5625000000;1.1875000000;-7.8750000000
-9.3590000000;0.0980000000;-1.8032000000;-0.3062500000;6.9212500000;9.7387500000;39.5625000000;1.1875000000;-9.0625000000
-9.4178000000;0.0392000000;-1.7738000000;14.7612500000;6.2475000000;-6.6150000000;38.5000000000;1.5000000000;-9.3750000000
-9.3492000000;-0.0196000000;-1.8522000000;9.9225000000;4.7775000000;-3.1850000000;38.5000000000;1.5000000000;-9.3750000000
-9.6432000000;0.2646000000;-1.8326000000;17.2112500000;-3.9200000000;18.6200000000;39.5625000000;1.1875000000;-8.2500000000
-9.6138000000;0.1960000000;-2.5480000000;31.6662500000;1.9600000000;18.7425000000;39.2500000000;0.7500000000;-7.3750000000
-9.0454000000;0.9506000000;-3.0576000000;5.2062500000;14.4550000000;6.9212500000;39.5625000000;1.0625000000;-8.2500000000
-9.8686000000;0.8428000000;-4.3806000000;10.9025000000;14.9450000000;29.0325000000;39.5625000000;0.5000000000;-8.2500000000
-9.4668000000;0.9016000000;-5.3214000000;5.3287500000;30.6250000000;31.2375000000;39.5625000000;0.5000000000;-8.2500000000
-9.7314000000;0.9702000000;-5.6840000000;-4.2262500000;48.3262500000;24.8062500000;40.0000000000;-0.6875000000;-7.5000000000
-10.0254000000;0.2842000000;-5.5370000000;15.3737500000;58.1875000000;15.0675000000;41.7500000000;-0.2500000000;-6.6875000000
-10.3488000000;0.2450000000;-4.8804000000;23.3975000000;66.2112500000;2.4500000000;41.5000000000;-1.0000000000;-5.0625000000
-10.1626000000;0.4410000000;-4.3806000000;23.3975000000;68.1712500000;6.7375000000;42.5625000000;-2.5000000000;-2.7500000000
-10.0254000000;0.3920000000;-4.0278000000;17.0887500000;73.6225000000;-27.2562500000;42.5625000000;-2.5000000000;-2.7500000000
-9.8098000000;0.7252000000;-4.0866000000;0.4287500000;70.3150000000;-12.8012500000;43.1875000000;-3.0625000000;0.7500000000
-9.4864000000;1.1760000000;-5.6350000000;-60.5762500000;66.7012500000;8.7587500000;43.5625000000;-1.6875000000;2.2500000000
-9.3688000000;-0.3724000000;-5.5076000000;-8.8200000000;94.9987500000;20.2125000000;42.8750000000;-2.0625000000;5.2500000000
-9.6726000000;0.1568000000;-5.3802000000;20.7025000000;73.2550000000;-16.9050000000;42.8750000000;-2.0625000000;5.2500000000
-8.3496000000;0.8330000000;-5.8212000000;25.6025000000;70.3150000000;-9.6162500000;42.5000000000;-2.7500000000;7.7500000000
-7.8008000000;1.2054000000;-6.3994000000;24.5000000000;73.9900000000;-12.5562500000;40.5625000000;-2.2500000000;10.0000000000
-7.4088000000;0.4214000000;-6.2524000000;39.6900000000;84.7700000000;-13.9650000000;39.5000000000;-2.0000000000;12.6875000000
-6.9482000000;0.7644000000;-6.2720000000;26.9500000000;82.6875000000;5.7575000000;38.3750000000;-0.5000000000;14.7500000000
-6.9286000000;0.3528000000;-6.0466000000;25.7250000000;75.3375000000;-3.3075000000;38.3750000000;-0.5000000000;14.7500000000
-5.7526000000;0.6860000000;-5.9878000000;3.6137500000;61.2500000000;-1.4700000000;35.6875000000;-0.0625000000;17.1875000000
