acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
-9.7802366311;-0.7555127694;-0.4382625473;0.0616051076;1.2995657183;1.0677044443;50.6875000000;-10.2500000000;-7.0625000000
-9.8387629966;-0.8945152212;-0.4688344750;-2.4812289522;-0.5561213968;-0.2457578120;49.5625000000;-10.6875000000;-7.0625000000
-9.4178289549;-0.6974013102;-0.4956679951;4.9461363195;-0.2509268197;-1.2582621064;49.5625000000;-10.6875000000;-6.3750000000
-9.5059623214;-0.7753150599;-0.3968211028;-3.4887333717;-0.1906168034;-0.3153708369;49.5625000000;-10.6875000000;-6.3750000000
-9.4328071093;-0.8539794642;-0.5143423007;1.1911166619;-0.9847312448;-1.1204104211;50.0000000000;-10.2500000000;-6.6875000000
-9.6422590394;-0.6835401838;-0.3940459360;2.3498730919;-0.2469508872;-0.8691792906;49.5625000000;-9.8750000000;-5.8750000000
-9.5109529191;-0.7898363468;-0.4778989261;-5.1441251591;-0.1248743580;-0.8668262914;50.0000000000;-10.2500000000;-6.3750000000
-9.4980728217;-0.5906275914;-0.4708413256;6.1033717077;-0.3143346911;-1.3024083521;51.0000000000;-9.5625000000;-6.6875000000
-9.7019865178;-0.7375538989;-0.3520013392;-3.1330294790;1.3294984027;0.0628476796;51.0000000000;-9.5625000000;-6.6875000000
-9.4826420903;-0.9170413324;-0.5184303397;-0.1895793354;-1.1689918449;-0.5540871090;50.0000000000;-11.3750000000;-7.0625000000
-9.4775323918;-0.5692041672;-0.4859147653;4.2381533264;-0.1238267253;-1.9814156032;49.5625000000;-10.6875000000;-8.2500000000
-9.4802255989;-0.7417269298;-0.3653050658;-5.6647493715;0.2490978676;-0.3799698610;50.0000000000;-11.3750000000;-6.3750000000
-9.4069188625;-0.6971837345;-0.5399787996;4.8973309997;-0.6222643746;-0.5643694141;50.2500000000;-10.6875000000;-7.5000000000
-9.6793778685;-0.7000979437;-0.4261055483;-1.7249523061;0.9526697554;0.5530976831;50.2500000000;-10.6875000000;-7.5000000000
-9.8300801446;-0.9919131365;-0.5147464408;-2.8217236998;-0.3155014374;1.0418424761;50.2500000000;-10.2500000000;-6.2500000000
-9.4623063611;-0.5868033555;-0.5273540040;5.4910975381;-0.0615792965;-1.0119943760;50.0000000000;-9.5625000000;-7.5000000000
-9.7241890888;-0.8155849811;-0.4575124768;-5.2688535462;1.0797106395;0.7383052540;50.2500000000;-10.6875000000;-6.6875000000
-9.4946423206;-0.7834624322;-0.5468538772;3.2885029554;-0.3753353290;-0.2451851652;50.2500000000;-11.3750000000;-7.0625000000
-9.7467494156;-0.7544136039;-0.4524557191;-0.7521418099;1.0015086031;0.3743839356;50.2500000000;-11.3750000000;-7.0625000000
-9.6458523970;-0.8995416156;-0.6090993165;-2.2054992429;-0.9193549895;0.2487386246;49.1875000000;-9.8750000000;-7.0625000000
-9.7438524048;-0.5504219098;-0.3387299647;3.9906368302;1.8308716712;-0.2476216078;50.6875000000;-11.3750000000;-7.8750000000
-9.6946023751;-0.7570430911;-0.5336048100;-4.4037391708;-0.1243331183;0.9556477837;50.0000000000;-9.5625000000;-6.6875000000
-9.4529830677;-0.7807949039;-0.4682290308;-0.0626043122;1.0102801052;0.6890789733;49.5625000000;-9.5625000000;-7.0625000000
-9.5116514693;-0.7702311351;-0.5005340111;0.8903181355;-0.7511134295;0.1250938754;49.5625000000;-9.5625000000;-7.0625000000
-9.6055446406;-0.7544298407;-0.5476865066;-2.1466330884;0.2480880931;0.0000000000;51.0625000000;-10.2500000000;-8.2500000000
-9.6835689181;-0.7031318855;-0.3055491506;2.3287113577;1.2255547791;-0.1262954154;50.0000000000;-9.1875000000;-6.3750000000
-9.3964650738;-0.7747735230;-0.5019085955;-2.1028192605;-1.3572711139;0.0000000000;50.0000000000;-11.0625000000;-6.6875000000
-9.7724347739;-0.7561537675;-0.4811574434;0.1233895574;-0.2527239777;-0.0619106998;49.5625000000;-9.5625000000;-7.0625000000
-9.6459845437;-0.6895273912;-0.1961865542;3.5599085082;-0.1250652136;0.1250100375;49.5625000000;-9.5625000000;-7.0625000000
-9.6220132684;-0.9163823923;-0.5295386006;-3.3970658920;-2.1594291930;0.7580417627;49.5625000000;-11.3750000000;-7.0625000000
-9.6175271801;-0.7042982736;-0.5307008876;2.6178635302;-0.8181874684;-1.0055860218;50.2500000000;-10.6875000000;-7.0625000000
-9.8320928581;-0.6205908668;-0.4579915415;0.4451527267;-0.6759814110;1.0757035731;49.5625000000;-9.5625000000;-6.6875000000
-9.9533814658;-0.9279217654;-1.1291388406;-2.7816892394;1.0791567315;-0.0621321063;50.2500000000;-10.2500000000;-7.8750000000
-9.9406968211;-0.3512515375;-1.5619232856;-0.8689385626;8.7072607248;-2.4870535289;50.2500000000;-10.2500000000;-7.8750000000
-10.0562222040;-0.0606559976;-1.6775993458;-5.9939888845;4.0593185964;6.1804695795;50.2500000000;-11.6875000000;-5.8750000000
-10.0665117486;-0.6375071441;-3.0291577547;14.6384672959;2.3091628382;11.7736916450;50.0000000000;-9.8750000000;-6.2500000000
-10.1018409309;-0.3728641695;-2.7194757309;15.5797393081;26.2052652726;9.6043275819;50.6875000000;-10.6875000000;-6.6875000000
-10.3980307389;-0.4038985759;-2.9832429177;8.8505241201;33.6846826361;10.4468365900;49.5625000000;-11.0625000000;-6.6875000000
-10.3867919289;-0.4968848381;-3.6324749196;22.4332294690;45.6211983509;6.4923854475;49.5625000000;-11.0625000000;-6.6875000000
-10.4764694295;0.1697378872;-3.0992146559;29.5854653372;53.6104794838;10.6235332731;50.0000000000;-13.1875000000;-4.6875000000
-10.7069441885;-0.0790641476;-4.8265628061;16.4375863093;58.9054012572;17.2141724214;50.0000000000;-11.6875000000;-1.1875000000
-11.1881584996;-0.2337870235;-5.3311899151;23.5351002231;74.2418277361;24.0158218409;50.0000000000;-13.5625000000;-0.7500000000
-11.4054883171;-0.8544991988;-5.3304224185;26.4186082819;88.1218403574;25.4320564023;49.5000000000;-14.0000000000;2.7500000000
-11.3184500329;-1.4227393181;-5.3277703851;18.1743897168;98.5269867039;16.4949141069;49.5000000000;-14.0000000000;2.7500000000
-11.4936534082;-1.8226167388;-5.8914059947;21.6831003575;107.6139685091;1.0720244301;49.5000000000;-15.0625000000;6.6875000000
-11.7178883326;-1.5629585046;-5.2992280824;58.7215830901;113.2510962808;-14.0164486394;48.6875000000;-15.3750000000;11.0000000000
-11.0214289075;-0.7016736718;-4.9986133583;48.5274532642;104.8155326107;-25.9878061475;47.5625000000;-16.0625000000;14.8750000000
-10.4384789125;-0.2753891081;-5.0087353222;59.4083782157;112.9727945141;-27.5384759278;47.0625000000;-14.2500000000;20.0000000000
-9.2860821068;0.0398221999;-5.1455772800;38.4889276747;111.4801451143;-29.9466298668;47.0625000000;-14.2500000000;20.0000000000
-9.0602581800;-0.2426887619;-5.3339753913;43.5227393998;111.6670616608;-11.5160898630;44.1875000000;-11.5625000000;23.3750000000
-7.8199428790;-1.1639787135;-4.5841512608;6.1388941972;101.8753215077;-11.3579106862;41.3750000000;-10.5000000000;28.1875000000
-7.3834975315;-1.0131560972;-5.9438089753;22.5030841782;96.6220689987;-10.5343254155;38.6875000000;-10.5000000000;32.0625000000
