time index;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z;quat_w;quat_x;quat_y;quat_z
1;-0.0700000000;-0.1400000000;9.5200000000;-4.1875000000;-0.1250000000;-1.2500000000;-2.0625000000;-9.0000000000;-42.1875000000;-0.1338500000;-0.0056760000;-0.0158080000;0.9908450000
2;-0.2300000000;-0.4000000000;9.7300000000;1.4375000000;0.1250000000;-0.6875000000;-2.0625000000;-9.3750000000;-43.6875000000;-0.1337890000;-0.0055540000;-0.0170900000;0.9908450000
3;-0.0900000000;-0.4000000000;9.8600000000;3.5625000000;1.2500000000;0.5000000000;-1.7500000000;-9.0000000000;-43.7500000000;-0.1337890000;-0.0055540000;-0.0165410000;0.9908450000
4;-0.1600000000;-0.2900000000;9.8500000000;-1.3125000000;-0.2500000000;0.8750000000;-1.7500000000;-9.0000000000;-43.7500000000;-0.1337280000;-0.0057370000;-0.0158690000;0.9908450000
5;-0.1800000000;-0.0600000000;9.5100000000;-0.0625000000;-0.0625000000;-0.7500000000;-2.5000000000;-8.2500000000;-42.8750000000;-0.1337890000;-0.0057980000;-0.0156860000;0.9908450000
6;-0.1800000000;-0.3300000000;9.7400000000;0.0000000000;0.0000000000;0.1250000000;-2.5000000000;-9.3750000000;-44.1875000000;-0.1337890000;-0.0057370000;-0.0159910000;0.9908450000
7;-0.1100000000;-0.2300000000;9.6400000000;1.3125000000;0.2500000000;-0.1250000000;-1.3750000000;-7.8750000000;-43.2500000000;-0.1337890000;-0.0057980000;-0.0155640000;0.9908450000
8;-0.1300000000;-0.1800000000;9.6800000000;4.3750000000;0.6875000000;-1.6875000000;-2.0625000000;-9.0000000000;-43.2500000000;-0.1338500000;-0.0059810000;-0.0150150000;0.9908450000
9;-0.0100000000;-0.5100000000;10.0200000000;-3.5625000000;-0.3750000000;1.3125000000;-2.0625000000;-9.0000000000;-43.2500000000;-0.1338500000;-0.0058590000;-0.0159300000;0.9908450000
10;-0.1500000000;-0.4100000000;9.8300000000;-0.4375000000;-0.3750000000;0.6250000000;-1.7500000000;-8.5625000000;-42.0625000000;-0.1337280000;-0.0057980000;-0.0157470000;0.9909060000
11;-0.0800000000;-0.0900000000;9.6700000000;2.8750000000;-0.7500000000;-0.9375000000;-1.7500000000;-9.0000000000;-44.5000000000;-0.1337280000;-0.0059200000;-0.0148930000;0.9909060000
12;-0.1100000000;-0.2100000000;9.7800000000;-1.6250000000;0.2500000000;-0.2500000000;-2.5000000000;-9.0000000000;-42.8750000000;-0.1337280000;-0.0058590000;-0.0149540000;0.9909060000
13;-0.1300000000;-0.4600000000;9.8300000000;0.3125000000;-0.4375000000;-0.3750000000;-1.7500000000;-8.5625000000;-43.7500000000;-0.1337890000;-0.0057370000;-0.0153200000;0.9908450000
14;-0.1000000000;-0.1500000000;9.6700000000;4.3750000000;-0.6250000000;0.3750000000;-1.7500000000;-8.5625000000;-43.7500000000;-0.1337890000;-0.0059810000;-0.0138550000;0.9909060000
15;-0.1100000000;-0.1500000000;9.7300000000;-0.7500000000;-0.3750000000;0.0000000000;-1.7500000000;-9.0000000000;-42.5000000000;-0.1336670000;-0.0059810000;-0.0136110000;0.9909060000
